step,reliability,smoothed_reliability,latency,smoothed_latency,active_model,controller_state,deriv,fast_J,robust_J,timestamp
0,0.992717981338501,0.992717981338501,5.65840000001927e-05,5.65840000001927e-05,fast,fast,0.0,0.007338602661499216,0.0037782769929810556,1770136389.0889442
1,0.9974479079246521,0.9936639666557313,2.408299999956398e-05,5.0083800000066966e-05,fast,fast,0.0009459853172303356,0.0025761750753474644,0.006969986976440801,1770136389.089858
2,0.9998089671134949,0.9948929667472841,2.3917000000039934e-05,4.4850440000061565e-05,fast,fast,0.001229000091552801,0.0002149498865051669,0.0003006326446532981,1770136389.090822
3,0.9997328519821167,0.9958609437942507,2.3999999999801958e-05,4.068035200000965e-05,fast,fast,0.000967977046966606,0.00029114801788310274,0.00011317750186101705,1770136389.0918021
4,0.9998177886009216,0.996652312755585,2.374999999954497e-05,3.729428159991672e-05,fast,fast,0.0007913689613342489,0.0002059613990779141,0.00012723817480519983,1770136389.092777
5,0.999499499797821,0.9972217501640323,2.404199999972434e-05,3.464382527987824e-05,fast,fast,0.000569437408447282,0.0005245422021786794,0.0005132262729494741,1770136389.093726
6,0.9989490509033203,0.99756721031189,2.4458000000393554e-05,3.2606660223981306e-05,fast,fast,0.0003454601478577457,0.001075407096680081,0.00031403027307064235,1770136389.0951219
7,0.9998598098754883,0.9980257302246097,2.4250000000058947e-05,3.093532817919683e-05,fast,fast,0.0004585199127197237,0.0001644401245117777,0.0002300971870425883,1770136389.0961
8,0.999849259853363,0.9983904361503605,2.379199999946735e-05,2.950666254325094e-05,fast,fast,0.00036470592575077454,0.00017453214663643024,0.00016903184472649713,1770136389.097059
9,0.9855353236198425,0.995819413644257,2.3957999999879576e-05,2.8396930034576665e-05,fast,fast,-0.0025710225061035263,0.01448863438015735,0.003898256049743587,1770136389.098033
10,0.9517572522163391,0.9870069813586735,2.3207999999996787e-05,2.735914402766069e-05,fast,fast,-0.008812432285583482,0.048265955783660885,0.013571494850341814,1770136389.098976
11,0.9715242981910706,0.9839104447251529,2.3500000000176158e-05,2.6587315222163786e-05,fast,fast,-0.003096536633520608,0.02849920180892962,0.011354959552948074,1770136389.099913
12,0.9942973852157593,0.9859878328232742,2.3707999999622587e-05,2.6011452177655547e-05,fast,fast,0.002077388098121302,0.005726322784240345,0.005783509963989353,1770136389.1008582
13,0.968090295791626,0.9824083254169446,2.4167000000296923e-05,2.564256174218382e-05,fast,fast,-0.0035795074063296184,0.03193387120837432,0.013867311702361995,1770136389.102293
14,0.9938035011291504,0.9846873605593858,2.354200000009854e-05,2.5222449393766767e-05,fast,fast,0.0022790351424412103,0.006220040870849708,0.02733503500329615,1770136389.1032388
15,0.9831193685531616,0.984373762158141,2.383300000019517e-05,2.494455951505245e-05,fast,fast,-0.00031359840124478566,0.016904464446838574,0.034438758567627126,1770136389.104181
16,0.9007189869880676,0.9676428071241264,2.3458999999448338e-05,2.464744761193163e-05,fast,fast,-0.01673095503401456,0.09930447201193182,0.04870665662002516,1770136389.105122
17,0.9969156384468079,0.9734973733886628,2.3207999999996787e-05,2.4359558089544665e-05,fast,fast,0.005854566264536398,0.0031075695531921355,0.003357154503051518,1770136389.106058
18,0.9776621460914612,0.9743303279292226,2.354200000009854e-05,2.4196046471655442e-05,fast,fast,0.0008329545405597605,0.022361395908538917,0.011841345035736417,1770136389.106996
19,0.9968642592430115,0.9788371141919804,2.354200000009854e-05,2.4065237177344063e-05,fast,fast,0.0045067862627578,0.003159282756988624,0.0035827390138551962,1770136389.107933
20,0.9998682737350464,0.9830433461005936,2.3624999999860563e-05,2.3977189741847364e-05,fast,fast,0.004206231908613245,0.00015535126495347384,0.00024577344113208,1770136389.108897
21,0.9959169030189514,0.9856180574842652,2.3708000000510765e-05,2.3923351793580047e-05,fast,fast,0.002574711383671602,0.004106804981049095,0.0016406353149411856,1770136389.109837
22,0.9996434450149536,0.988423134990403,2.354200000009854e-05,2.384708143488375e-05,fast,fast,0.0028050775061377875,0.00038009698504648526,0.00026616378784183325,1770136389.111341
23,0.9998241662979126,0.9907033412519051,2.7667000000342057e-05,2.4611065147975412e-05,fast,fast,0.002280206261502049,0.0002035007020877444,0.000123409431091126,1770136389.113129
24,0.999624490737915,0.992487571149107,2.3666000000588383e-05,2.442205211849801e-05,fast,fast,0.00178422989720195,0.0003991752620855493,0.0006672318611142813,1770136389.114136
25,0.9995669722557068,0.993903451370427,2.3333999999763932e-05,2.4204441694751196e-05,fast,fast,0.0014158802213199984,0.0004563617442929768,0.0005684307554325585,1770136389.115082
26,0.9998967051506042,0.9951021021264624,2.3709000000593505e-05,2.410535335591966e-05,fast,fast,0.0011986507560354243,0.00012700384939634546,0.0002431986274720188,1770136389.1160269
27,0.9928864240646362,0.9946589665140972,2.358299999993818e-05,2.4000882684723362e-05,fast,fast,-0.0004431356123651975,0.007137158935363708,0.01956331037103265,1770136389.116972
28,0.9720893502235413,0.9901450432559861,2.3624999999860563e-05,2.3925706147750803e-05,fast,fast,-0.004513923258111174,0.0279342747764586,0.008543401203155554,1770136389.117911
29,0.9847179651260376,0.9890596276299963,2.3624999999860563e-05,2.3865564918172756e-05,fast,fast,-0.0010854156259897385,0.015305659873962263,0.06106747943496771,1770136389.118848
