step,reliability,smoothed_reliability,latency,smoothed_latency,active_model,controller_state,deriv,fast_J,robust_J,timestamp
0,0.7961952090263367,0.7961952090263367,2.304200000002865e-05,2.304200000002865e-05,fast,robust,0.0,0.3543891903306884,0.20382783297366336,1770136386.1388102
1,0.7702472805976868,0.7910056233406068,2.254199999995876e-05,2.2942000000014676e-05,fast,robust,-0.005189585685729914,0.08312043881607067,0.2297752614023132,1770136386.139748
2,0.8059914112091064,0.7940027809143068,2.195899999968276e-05,2.2745399999948295e-05,fast,robust,0.0029971575737000045,0.1676968015897824,0.19403054779089324,1770136386.1406999
3,0.9146026372909546,0.8181227521896364,2.2416999999830267e-05,2.267971999992469e-05,fast,robust,0.02411997127532961,0.18689159904461672,0.08541977970904524,1770136386.141663
4,0.9085577726364136,0.8362097562789919,2.2292000000145862e-05,2.2602175999968924e-05,fast,robust,0.018087004089355485,0.10619230052966344,0.09146451936358657,1770136386.1426282
5,0.900126039981842,0.848993013019562,2.2125000000094985e-05,2.2506740799994137e-05,fast,robust,0.012783256740570126,0.06560688448352048,0.09989608501815805,1770136386.143569
6,0.8264020085334778,0.8444748121223452,2.512500000007023e-05,2.3030392640009357e-05,fast,robust,-0.004518200897216773,0.5725923312816623,0.1736231164665223,1770136386.148576
7,0.829957127571106,0.8415712752120974,2.2041999999888873e-05,2.283271411198526e-05,fast,robust,-0.002903536910247806,0.10501860230654936,0.17006491442889393,1770136386.149538
8,0.8861454725265503,0.850486114674988,2.1540999999736243e-05,2.2574371289535458e-05,fast,robust,0.008914839462890622,0.1377778155401308,0.11387606847344944,1770136386.15045
9,0.8560172915458679,0.8515923500491641,2.1250000000083702e-05,2.230949703164511e-05,fast,robust,0.00110623537417609,0.35308520374642915,0.14400395845413216,1770136386.151411
10,0.9998494982719421,0.8812437796937198,2.170799999978712e-05,2.218919762527351e-05,fast,robust,0.029651429644555694,0.0005781156614377281,0.00017220972805764845,1770136386.152336
11,0.9997880458831787,0.9049526329316117,2.1792000000075973e-05,2.2109758100234004e-05,fast,robust,0.023708853237891847,0.0004779680442812406,0.00023374611682136504,1770136386.153244
12,0.9998664855957031,0.92393540346443,2.120800000016132e-05,2.1929406480219468e-05,fast,robust,0.018982770532818383,0.0001651324499203355,0.00015472240429703632,1770136386.1541681
13,0.9998181462287903,0.9391119520173021,2.141700000013458e-05,2.182692518420249e-05,fast,robust,0.015176548552872093,0.00035912919653302566,0.00020327077120985138,1770136386.155523
14,0.9998271465301514,0.951254990919872,2.1542000000263073e-05,2.1769940147414608e-05,fast,robust,0.012143038902569847,7.404497128282728e-05,0.00019439546984889589,1770136386.156432
15,0.9998359680175781,0.9609711863394133,2.1334000000372555e-05,2.16827521180062e-05,fast,robust,0.009716195419541274,9.57060852053715e-05,0.00018536598242224755,1770136386.157355
