step,reliability,smoothed_reliability,latency,smoothed_latency,active_model,controller_state,deriv,fast_J,robust_J,timestamp
0,0.992056131362915,0.992056131362915,2.3458000000253776e-05,2.3458000000253776e-05,fast,robust,0.0,0.015536462131500173,0.007967326637085215,1770136389.7150779
1,0.9972876310348511,0.9931024312973022,2.2167000000017367e-05,2.3199800000206494e-05,fast,robust,0.001046299934387207,0.0010759812127991708,0.002734535965148943,1770136389.715976
2,0.9883452653884888,0.9921509981155396,2.2291999999701773e-05,2.3018240000105553e-05,fast,robust,-0.0009514331817626065,0.008377150802428623,0.011677026611510932,1770136389.716914
3,0.998643159866333,0.9934494304656983,2.2958000000627976e-05,2.300619200021004e-05,fast,robust,0.0012984323501586958,0.003770259552001498,0.0013797981336676202,1770136389.717877
4,0.9949511885643005,0.9937497820854189,2.224999999977939e-05,2.2854953600123912e-05,fast,robust,0.00030035161972052915,0.007179991279602227,0.005071061435699242,1770136389.7188559
5,0.9988941550254822,0.9947786566734316,2.2374999999463796e-05,2.275896287999189e-05,fast,robust,0.001028874588012707,0.0011494141351615639,0.001128219974517286,1770136389.7197871
6,0.9971795082092285,0.9952588269805911,2.3458000000253776e-05,2.289877030404427e-05,fast,robust,0.000480170307159522,0.010973392082396671,0.002843949790771738,1770136389.7213068
7,0.9874674081802368,0.9937005432205204,2.2167000000017367e-05,2.275241624323889e-05,fast,robust,-0.0015582837600707222,0.008254705024902442,0.012554758819763201,1770136389.722261
8,0.9896615743637085,0.992892749449158,2.2333000000429593e-05,2.266853299467703e-05,fast,robust,-0.0008077937713624195,0.0114777960050656,0.010360758636291933,1770136389.723197
9,0.9967976808547974,0.9936737357302858,2.2041999999444783e-05,2.2543226395630583e-05,fast,robust,0.0007809862811278823,0.012093380962372002,0.0032243611452020815,1770136389.724153
10,0.9998494982719421,0.9949088882386172,2.2125000000094985e-05,2.2459581116523462e-05,fast,robust,0.0012351525083313941,0.0005784496614378298,0.0001726267280579563,1770136389.7251132
11,0.999313473701477,0.9957898053311892,2.258300000068658e-05,2.2484264893356087e-05,fast,robust,0.0008809170925719867,0.001497957702453867,0.0007091092985236358,1770136389.726055
12,0.9954882264137268,0.9957294895476967,2.220799999985701e-05,2.242901191465627e-05,fast,robust,-6.031578349252609e-05,0.004507765426452259,0.00453398158627305,1770136389.726998
13,0.9939875602722168,0.9953811036926008,2.2957999999739798e-05,2.2534809531672977e-05,fast,robust,-0.0003483858550958896,0.013201810169403139,0.006035397727782943,1770136389.728451
14,0.9997743964195251,0.9962597622379856,2.2290999999619032e-05,2.2486047625262188e-05,fast,robust,0.000878658545384825,9.233417892406948e-05,0.00024789458047447255,1770136389.729592
15,0.9998359680175781,0.9969750033939042,2.1667000000391567e-05,2.2322238100288066e-05,fast,robust,0.0007152411559185889,9.63310852046817e-05,0.00018569898242226657,1770136389.730577
16,0.9998642802238464,0.9975528587598927,2.1374999999324018e-05,2.2132790480095258e-05,fast,robust,0.0005778553659885333,0.00030061983071938414,0.00015709477615288847,1770136389.7314858
