step,reliability,smoothed_reliability,latency,smoothed_latency,active_model,controller_state,deriv,fast_J,robust_J,timestamp
0,0.6456639766693115,0.6456639766693115,5.595899999999432e-05,5.595899999999432e-05,fast,LearningControllerState.STABLE,0.0,0.35439198233068847,0.203828123973663,1770136388.490443
1,0.9169034361839294,0.6999118685722352,2.533400000004349e-05,4.983400000000416e-05,robust,LearningControllerState.STABLE,0.05424789190292367,0.0831218978160706,0.2297754284023137,1770136388.491415
2,0.8059914112091064,0.7211277770996095,2.220799999985701e-05,4.430879999997473e-05,fast,LearningControllerState.STABLE,0.021215908527374316,0.16769709358978258,0.1940307967908934,1770136388.49238
3,0.8131333589553833,0.7395288934707643,2.3500000000176158e-05,4.014704000001501e-05,fast,LearningControllerState.STABLE,0.018401116371154824,0.18689014104461688,0.08541940370904566,1770136388.4933581
4,0.8938314914703369,0.7703894130706789,5.400000000044258e-05,4.291763200010053e-05,robust,LearningControllerState.STABLE,0.030860519599914538,0.10622250852966353,0.09146864436358637,1770136388.4944608
5,0.900126039981842,0.7963367384529116,2.7832999999866104e-05,3.990070560005365e-05,robust,LearningControllerState.STABLE,0.025947325382232767,0.0656250504835203,0.09990179301815783,1770136388.495559
6,0.8264020085334778,0.8023497924690249,2.170900000031395e-05,3.626236448010571e-05,robust,LearningControllerState.STABLE,0.006013054016113295,0.5725908312816621,0.17361970046652253,1770136388.500455
7,0.829957127571106,0.8078712594894412,2.1333000000289815e-05,3.327649158414253e-05,robust,LearningControllerState.STABLE,0.005521467020416226,0.10501943530654945,0.17006420542889433,1770136388.501397
8,0.8861454725265503,0.823526102096863,2.1499999999896602e-05,3.092119326729335e-05,robust,LearningControllerState.STABLE,0.015654842607421893,0.137777941540131,0.1138760274734496,1770136388.502353
9,0.8560172915458679,0.8300243399866641,2.1625000000469186e-05,2.9061954613928516e-05,robust,LearningControllerState.STABLE,0.006498237889801084,0.35308374674642984,0.14400433345413255,1770136388.503315
10,0.9998494982719421,0.8639893716437197,2.170800000023121e-05,2.7591163691189056e-05,robust,LearningControllerState.STABLE,0.033965031657055555,0.0005787826614378488,0.00017220972805809254,1770136388.504272
11,0.9997880458831787,0.8911491064916115,2.1625000000469186e-05,2.6397930953045083e-05,fast,LearningControllerState.STABLE,0.027159734847891803,0.00047809304428092503,0.00023357911682175825,1770136388.505209
12,0.9998582005500793,0.9128909253033052,2.308300000031238e-05,2.5734944762498544e-05,fast,LearningControllerState.STABLE,0.02174181881169368,0.00016488244992096668,0.00015480640429732517,1770136388.506162
13,0.9996638298034668,0.9302455062033375,2.333400000065211e-05,2.525475581012926e-05,fast,LearningControllerState.STABLE,0.01735458090003228,0.00035950419653385524,0.00020339577120953578,1770136388.507503
14,0.999949038028717,0.9441862125684135,2.3207999999996787e-05,2.484540464810277e-05,robust,LearningControllerState.STABLE,0.01394070636507605,7.416997128295577e-05,0.0001941874698481172,1770136388.508435
