step,reliability,smoothed_reliability,latency,smoothed_latency,active_model,controller_state,deriv,fast_J,robust_J,timestamp
0,0.6456639766693115,0.6456639766693115,5.729200000015311e-05,5.729200000015311e-05,robust,robust,0.0,0.35439331533068863,0.20382779097366344,1770136387.309943
1,0.7702472805976868,0.6705806374549866,2.3917000000039934e-05,5.061700000013048e-05,fast,fast,0.024916660785675115,0.08312043881607067,0.22977663640231327,1770136387.310869
2,0.8323265314102173,0.7029298162460328,2.324999999991917e-05,4.514360000008822e-05,fast,fast,0.03234917879104615,0.16769671858978263,0.1940303807908932,1770136387.31181
3,0.8131333589553833,0.7249705247879029,2.379200000035553e-05,4.0873280000141684e-05,fast,fast,0.022040708541870124,0.18689043304461705,0.08541890470904567,1770136387.312741
4,0.8938314914703369,0.7587427181243898,2.304200000002865e-05,3.7307024000119085e-05,fast,fast,0.033772193336486844,0.10619155052966311,0.09146364336358648,1770136387.313649
5,0.9344165325164795,0.7938774810028077,2.3166000000074405e-05,3.447881920011015e-05,fast,fast,0.03513476287841799,0.06560663348352058,0.0998953770181581,1770136387.3145359
6,0.427433043718338,0.7205885935459139,2.3207999999996787e-05,3.2224655360087475e-05,fast,fast,-0.07328888745689388,0.572590164281662,0.17361965846652216,1770136387.319424
7,0.8950046896934509,0.7554718127754213,2.254199999995876e-05,3.0288124288061734e-05,fast,fast,0.034883219229507434,0.10501785230654903,0.17006458042889383,1770136387.320332
8,0.8622451424598694,0.7768264787123109,2.2709000000009638e-05,2.8772299430451318e-05,fast,fast,0.021354665936889616,0.13777756654013062,0.1138776524734495,1770136387.321236
9,0.6469393372535706,0.7508490504205629,2.4792000000051218e-05,2.7976239544371302e-05,fast,fast,-0.025977428291747984,0.3530854547464295,0.14400625045413218,1770136387.3222249
10,0.999444842338562,0.8005682088041628,2.383300000019517e-05,2.7147591635536077e-05,fast,fast,0.04971915838359986,0.0005789906614381835,0.00017296072805805807,1770136387.3231611
11,0.999545156955719,0.8403635984344741,2.304200000002865e-05,2.6326473308434595e-05,fast,fast,0.03979538963031126,0.0004778850442810345,0.0002341201168212237,1770136387.324072
12,0.9998582005500793,0.8722625188575952,2.3458000000253776e-05,2.5752778646798433e-05,fast,fast,0.031898920423121147,0.00016525744992090807,0.00015522340429674486,1770136387.325011
13,0.9996638298034668,0.8977427810467695,2.3500000000176158e-05,2.530222291747398e-05,fast,fast,0.02548026218917432,0.0003596701965333793,0.00020368777120971515,1770136387.3263848
14,0.999949038028717,0.9181840324431592,2.4207999999692476e-05,2.5083378333917682e-05,fast,fast,0.020441251396389637,7.516997128265146e-05,0.00021322846984839217,1770136387.327334
15,0.9999270439147949,0.9345326347374864,2.620799999997203e-05,2.5308302667128555e-05,fast,fast,0.01634860229432722,9.916408520505016e-05,0.00018778198242186406,1770136387.328345
16,0.999722421169281,0.9475705920238454,2.4749999999684746e-05,2.5196642133639793e-05,fast,fast,0.013037957286359037,0.0003023288307186789,0.00017409477615348834,1770136387.3294451
17,0.9998927712440491,0.9580350278678862,2.5166999999992612e-05,2.519071370691036e-05,fast,fast,0.010464435844040776,0.00013239575595092035,0.00012688657016024507,1770136387.3304331
18,0.9995920658111572,0.9663464354565404,2.3332999999681192e-05,2.4819170965464527e-05,fast,fast,0.00831140758865423,0.00043126718884245463,0.00022935876846297276,1770136387.33135
19,0.9997093677520752,0.9730190219156474,2.329099999975881e-05,2.4513536772323384e-05,fast,fast,0.006672586459106955,0.0003139232479245635,0.000326389339446731,1770136387.332264
20,0.9998682737350464,0.9783888722795273,2.3625000000304652e-05,2.433582941791964e-05,fast,fast,0.0053698503638799355,0.00015535126495391793,0.0002463564411314678,1770136387.333241
21,0.999768853187561,0.9826648684611341,2.3749999999989058e-05,2.4218663534333524e-05,fast,fast,0.004275996181606789,0.0002548968124389539,0.0001215151289062355,1770136387.334194
22,0.9996434450149536,0.9860605837718981,2.3749999999989058e-05,2.412493082746463e-05,fast,fast,0.0033957153107639915,0.0003803049850463758,0.00026583078784181424,1770136387.335527
23,0.9998241662979126,0.9888133002771011,2.383400000027791e-05,2.406674466202729e-05,fast,fast,0.0027527165052030345,0.00019966770208768025,0.0001226184310909595,1770136387.3368409
24,0.9998497366905212,0.9910205875597852,2.3416999999970045e-05,2.393679572961584e-05,fast,fast,0.002207287282684045,0.0001736803094787298,0.0002801416932980416,1770136387.337767
25,0.999823808670044,0.992781231781837,2.3958999999962316e-05,2.3941236583685138e-05,fast,fast,0.0017606442220517993,0.000200150329956017,0.00024856304550180397,1770136387.338702
26,0.9998967051506042,0.9942043264555904,2.4041000000085688e-05,2.396118926696525e-05,fast,fast,0.0014230946737534556,0.00012733584939583764,0.00024336462747198695,1770136387.339681
27,0.9998219013214111,0.9953278414287546,2.3375000000047663e-05,2.3843951413581733e-05,fast,fast,0.001123514973164208,0.00020147367858891485,0.0006000574264524161,1770136387.3406029
28,0.9996784329414368,0.9961979597312911,2.3708000000066676e-05,2.3816761130878722e-05,fast,fast,0.0008701183025364712,0.0003452750585632991,0.0001317075231628273,1770136387.341537
29,0.9999145865440369,0.9969412850938403,2.3166999999713056e-05,2.368680890464559e-05,fast,fast,0.0007433253625491743,0.00010858045596284782,0.00043304544430533554,1770136387.34246
30,0.9996597766876221,0.9974849834125966,2.354200000009854e-05,2.3657847123736183e-05,fast,fast,0.000543698318756336,0.00036376531237802823,0.00013318026715092302,1770136387.343384
31,0.9999125599861145,0.9979704987273003,4.166599999999576e-05,2.72594776989881e-05,fast,fast,0.00048551531470364395,0.0001291060138854938,0.00018197114581264273,1770136387.344378
32,0.9996501803398132,0.9983064350498029,2.4374999999743352e-05,2.6682582159139153e-05,fast,fast,0.00033593632250261685,0.00037419466018651093,0.0002288675151977948,1770136387.345498
33,0.9998342394828796,0.9986119959364183,2.5083000000147848e-05,2.6362665727340895e-05,fast,fast,0.00030556088661537473,0.00019084351712050918,0.00017758426248137837,1770136387.346577
34,0.9995275139808655,0.9987950995453078,2.3209000000079527e-05,2.573193258188862e-05,fast,fast,0.00018310360888951216,0.000495695019134601,0.0002221523971557282,1770136387.3475158
35,0.9997028708457947,0.9989766538054052,2.3207999999996787e-05,2.5227146065510253e-05,fast,fast,0.00018155426009747178,0.00032033715420531905,0.0003577541965329445,1770136387.348428
