step,reliability,smoothed_reliability,latency,smoothed_latency,active_model,controller_state,deriv,rolling_vol,mean_deriv,predicted_degradation_step,actual_degradation_step,lead_time,fast_J,robust_J,timestamp
0,0.9997433423995972,0.9997433423995972,0.00141337500000005,0.00141337500000005,fast,STABLE,0.0,0.0,0.0,,,,0.001670032600402882,0.00030221517962658595,1770134193.2166002
1,0.9998694062232971,0.9997685551643372,2.524999999997668e-05,0.0011357500000000354,fast,STABLE,2.5212764739990234e-05,1.2606382369995117e-05,0.0,,,,0.00015584377670285754,0.00019382814443980045,1770134193.21904
2,0.9998927116394043,0.9997933864593507,2.4457999999949465e-05,0.0009134916000000183,fast,STABLE,2.4831295013516552e-05,2.0430599693419956e-05,0.0,,,,0.0001317463605956526,0.00015111524200439597,1770134193.220264
3,0.9998137950897217,0.9997974681854249,2.4208000000136565e-05,0.000735634880000042,fast,STABLE,4.081726074245395e-06,2.170672217616755e-05,0.0,,,,0.00021041291027845688,0.0001862573545532431,1770134193.221399
4,0.9996792674064636,0.9997738280296327,2.641699999994529e-05,0.0005937913040000227,fast,STABLE,-2.364015579225942e-05,1.942933296655902e-05,0.0,,,,0.00034714959353632224,0.00022352832830807579,1770134193.2227561
5,0.9994881749153137,0.9997166974067689,2.8374999999858375e-05,0.00048070804319998986,fast,STABLE,-5.713062286372139e-05,2.8139382589338665e-05,-5.328998565645726e-06,,,,0.0005402000846861377,0.0001547781488342448,1770134193.2240782
6,0.9996048808097839,0.999694334087372,2.975000000016159e-05,0.00039051643456002424,fast,STABLE,-2.2363319396978554e-05,3.605089857346909e-05,-1.4844215393039483e-05,,,,0.00042486919021622604,0.00014258861523419597,1770134193.2258492
7,0.9996170401573181,0.9996788753013612,2.6416000000084594e-05,0.0003176963476480363,fast,STABLE,-1.54587860107247e-05,4.215758485123908e-05,-2.2902231597887734e-05,,,,0.00040937584268196936,0.0003257553861693019,1770134193.227137
8,0.9998224377632141,0.9997075877937319,2.4750000000128836e-05,0.00025910707811845486,fast,STABLE,2.871249237068607e-05,4.152210407552336e-05,-1.79760783385996e-05,,,,0.0002023122367860175,0.0005736815223695846,1770134193.228277
9,0.9995418190956116,0.9996744340541079,2.6375000000022908e-05,0.00021256066249476847,fast,STABLE,-3.315373962398116e-05,4.424086015520377e-05,-1.9878795104943946e-05,,,,0.00048455590438845064,0.0002080528873291687,1770134193.229502
10,0.9997502565383911,0.9996895985509646,2.3500000000176158e-05,0.00017474852999585004,fast,STABLE,1.5164496856678866e-05,4.610787915552516e-05,-5.4197711608638954e-06,,,,0.0002732434616090629,0.00010856354885868669,1770134193.230619
11,0.9994183778762817,0.999635354416028,2.324999999991917e-05,0.00014444882399666385,fast,STABLE,-5.424413493659852e-05,5.17850816669789e-05,-1.1795934268787889e-05,,,,0.0006048721237181809,0.00016295340347283194,1770134193.231714
12,0.999830424785614,0.9996743684899452,2.3082999999868292e-05,0.00012017565919730474,fast,STABLE,3.901407391715406e-05,4.602409506526069e-05,-9.013622832121371e-07,,,,0.00019265821438585462,0.0001639490777893826,1770134193.232805
13,0.9996552467346191,0.99967054413888,2.366700000000499e-05,0.0001008739273578448,fast,STABLE,-3.824351065162546e-06,3.466818800076104e-05,-7.4087309703818605e-06,,,,0.00036842026538086436,0.00021586495590208976,1770134193.2343092
14,0.9998332858085632,0.9997030924728167,2.3207999999996787e-05,8.53407418862752e-05,fast,STABLE,3.254833393673273e-05,2.2099241981279056e-05,5.7316837417609175e-06,,,,0.00018992219143676436,0.00011026868820174229,1770134193.235394
15,0.9997913837432861,0.9997207507269106,2.3082999999868292e-05,7.288919350899381e-05,fast,STABLE,1.7658254093833037e-05,2.2714876311528627e-05,6.230435189191752e-06,,,,0.00023169925671373548,0.0001837974244995877,1770134193.2365
16,0.9994206428527832,0.9996607291520851,2.254199999995876e-05,6.28197548071868e-05,fast,STABLE,-6.002157482543069e-05,2.3540500699732643e-05,5.074947211425318e-06,,,,0.0006018991472167556,0.0001709756351624403,1770134193.237582
