step,reliability,smoothed_reliability,latency,smoothed_latency,active_model,controller_state,deriv,fast_J,robust_J,timestamp
0,0.6456639766693115,0.6456639766693115,5.883399999984107e-05,5.883399999984107e-05,robust,robust,0.0,0.3543948573306883,0.20384941597366302,1770134447.110066
1,0.7702472805976868,0.6705806374549866,2.1832999999915614e-05,5.143379999985598e-05,fast,fast,0.024916660785675115,0.08312893881607053,0.22977455240231315,1770134447.11098
2,0.8323265314102173,0.7029298162460328,2.3624999999860563e-05,4.58720399998569e-05,fast,fast,0.03234917879104615,0.16769709358978258,0.19403150579089345,1770134447.111914
3,0.8131333589553833,0.7249705247879029,2.5166999999992612e-05,4.173103199988404e-05,fast,fast,0.022040708541870124,0.1868918080446167,0.08541932170904554,1770134447.112888
4,0.8938314914703369,0.7587427181243898,2.3500000000176158e-05,3.8084825599942466e-05,fast,fast,0.033772193336486844,0.10619200852966326,0.09146435236358608,1770134447.113835
5,0.9344165325164795,0.7938774810028077,2.358299999993818e-05,3.518446047994161e-05,fast,fast,0.03513476287841799,0.06560705048352045,0.09989621001815774,1770134447.114777
6,0.427433043718338,0.7205885935459139,2.462500000000034e-05,3.307256838395336e-05,robust,robust,-0.07328888745689388,0.572591581281662,0.17361969946652245,1770134447.11972
7,0.829957127571106,0.7424623003509523,2.2042000000332962e-05,3.086645470722928e-05,fast,fast,0.021873706805038418,0.10501889330654901,0.17006491442889438,1770134447.1206841
8,0.8622451424598694,0.7664188687727357,2.333300000012528e-05,2.935976376580848e-05,fast,fast,0.023956568421783397,0.13777819054013074,0.11387965247344933,1770134447.121679
9,0.6469393372535706,0.7425229624689027,2.5833999999669288e-05,2.865461101258064e-05,robust,robust,-0.02389590630383298,0.3530864967464291,0.1440057914541324,1770134447.1227221
10,0.9998494982719421,0.7939882696295106,2.4209000000219305e-05,2.7765488810108373e-05,fast,fast,0.05146530716060793,0.0006113246614378731,0.00017471072805808063,1770134447.124012
11,0.999545156955719,0.8350996470947524,2.429199999998133e-05,2.7070791048082968e-05,fast,fast,0.04111137746524174,0.0004791350442809872,0.00023466211682121596,1770134447.125053
12,0.9998582005500793,0.8680513577858179,2.3917000000039934e-05,2.6440032838474362e-05,fast,fast,0.032951710691065506,0.00016571644992069423,0.00015601440429691138,1770134447.1260211
13,0.9996638298034668,0.8943738521893476,2.433399999990371e-05,2.6018826270760235e-05,fast,fast,0.02632249440352974,0.00036050419653310684,0.0002040617712100179,1770134447.127423
14,0.999949038028717,0.9154888893572215,2.429199999998133e-05,2.5673461016604455e-05,fast,fast,0.021115037167873885,7.525397128294031e-05,0.0001952284698485407,1770134447.128353
15,0.9999270439147949,0.9323765202687363,2.4457999999949465e-05,2.543036881327346e-05,fast,fast,0.016887630911514795,9.741408520502759e-05,0.00018665698242203987,1770134447.12932
16,0.999722421169281,0.9458457004488453,2.4250000000058947e-05,2.5194295050630558e-05,fast,fast,0.013469180180109008,0.0003018288307190531,0.00015788577615349908,1770134447.130251
17,0.9998927712440491,0.9566551146078861,2.358299999993818e-05,2.4872036040492085e-05,fast,fast,0.010809414159040798,0.00013081175595086592,0.0001269695701600071,1770134447.131187
18,0.9995920658111572,0.9652425048485404,2.3957999999879576e-05,2.4689228832369584e-05,fast,fast,0.008587390240654247,0.000431892188842653,0.0002306507684632919,1770134447.132118
19,0.9997093677520752,0.9721358774292473,2.3125000000234763e-05,2.4376383065942622e-05,fast,fast,0.006893372580706991,0.00031375724792503945,0.00032672333944727683,1770134447.1330729
20,0.9998682737350464,0.9776823566904072,2.35410000000158e-05,2.420930645275726e-05,fast,fast,0.005546479261159809,0.00015526726495362908,0.00024585744113148067,1770134447.1340868
21,0.999768853187561,0.982099655989838,2.3666000000144294e-05,2.4100645162234667e-05,fast,fast,0.004417299299430799,0.00025481281243910914,0.00012143212890647348,1770134447.1350322
22,0.9996434450149536,0.9856084137948612,2.3416999999970045e-05,2.3963916129781744e-05,fast,fast,0.0035087578050232437,0.00037997198504635676,0.00026562278784147964,1770134447.13635
23,0.9998241662979126,0.9884515642954714,2.3708999999705327e-05,2.3912932903766462e-05,fast,fast,0.0028431505006102364,0.00019954270208710767,0.00012291043109158295,1770134447.137687
24,0.9998497366905212,0.9907311987744815,2.7041000000060933e-05,2.4538546323025357e-05,fast,fast,0.0022796344790100287,0.0001773043094788207,0.00028180869329874625,1770134447.138744
25,0.999823808670044,0.992549720753594,2.775000000010408e-05,2.51808370584411e-05,fast,fast,0.0018185219791125862,0.00020394132995615877,0.0002513970455018111,1770134447.139968
26,0.9998967051506042,0.9940191176329961,2.454199999979423e-05,2.505306964671173e-05,fast,fast,0.0014693968794020629,0.00012783684939554618,0.0002430326274716066,1770134447.140981
27,0.9998219013214111,0.9951796743706791,2.3749999999989058e-05,2.4792455717367196e-05,fast,fast,0.001160556737683005,0.00020184867858885625,0.0005995154264528679,1770134447.141907
28,0.9996784329414368,0.9960794260848307,2.354200000009854e-05,2.4542364573913467e-05,fast,fast,0.0008997517141515754,0.00034510905856333096,0.00013104152316278928,1770134447.142832
29,0.9999145865440369,0.996846458176672,2.2958999999822538e-05,2.4225691659095282e-05,fast,fast,0.0007670320918412576,0.0001083724559629573,0.00043279544430552264,1770134447.143734
30,0.9996597766876221,0.997409121878862,2.304099999994591e-05,2.398875332726541e-05,fast,fast,0.0005626637021900471,0.0003632643123778756,0.000132847267150904,1770134447.14463
