step,reliability,smoothed_reliability,latency,smoothed_latency,active_model,controller_state,deriv,fast_J,robust_J,timestamp
0,0.6456639766693115,0.6456639766693115,6.0041999999427276e-05,6.0041999999427276e-05,fast,LearningControllerState.STABLE,0.0,0.3543960653306879,0.203827040973664,1770136134.033597
1,0.9169034361839294,0.6999118685722352,2.3917000000039934e-05,5.281699999954981e-05,robust,LearningControllerState.STABLE,0.05424789190292367,0.0831204808160706,0.22977488640231325,1770136134.0345228
2,0.8059914112091064,0.7211277770996095,2.1499999999896602e-05,4.6553599999619175e-05,fast,LearningControllerState.STABLE,0.021215908527374316,0.16769676058978344,0.19403008879089345,1770136134.035462
3,0.8131333589553833,0.7395288934707643,2.308300000031238e-05,4.1859479999757816e-05,fast,LearningControllerState.STABLE,0.018401116371154824,0.186889724044617,0.08541911270904556,1770136134.036413
4,0.8938314914703369,0.7703894130706789,2.3125000000234763e-05,3.8112583999853214e-05,robust,LearningControllerState.STABLE,0.030860519599914538,0.10619163352966332,0.09146376936358624,1770136134.037359
5,0.900126039981842,0.7963367384529116,2.1874999999837996e-05,3.486506719985017e-05,robust,LearningControllerState.STABLE,0.025947325382232767,0.06560646748352017,0.0998958350181578,1770136134.0382888
6,0.8264020085334778,0.8023497924690249,2.2458000000113998e-05,3.2383653759902935e-05,robust,LearningControllerState.STABLE,0.006013054016113295,0.5725919972816627,0.17362044946652233,1770136134.043266
7,0.829957127571106,0.8078712594894412,2.329099999975881e-05,3.056512300787411e-05,robust,LearningControllerState.STABLE,0.005521467020416226,0.1050187273065486,0.1700661634288938,1770136134.0442739
8,0.8861454725265503,0.823526102096863,3.116699999949901e-05,3.068549840619909e-05,robust,LearningControllerState.STABLE,0.015654842607421893,0.13779710754013053,0.1138856944734492,1770136134.0456572
9,0.8560172915458679,0.8300243399866641,2.2708000000370987e-05,2.9089998725033473e-05,robust,LearningControllerState.STABLE,0.006498237889801084,0.35308657974642976,0.14400541645413245,1770136134.04685
10,0.9998494982719421,0.8639893716437197,2.250000000003638e-05,2.7771998980034056e-05,robust,LearningControllerState.STABLE,0.033965031657055555,0.0005794906614378093,0.0001730017280578977,1770136134.047848
11,0.9997880458831787,0.8911491064916115,2.2042000000332962e-05,2.662599918409384e-05,fast,LearningControllerState.STABLE,0.027159734847891803,0.00047859304428055083,0.00023399611682162202,1770136134.048824
12,0.9998582005500793,0.9128909253033052,2.4124999999486363e-05,2.6125799347172348e-05,fast,LearningControllerState.STABLE,0.02174181881169368,0.00016592444992014066,0.00015634840429701313,1770136134.049804
13,0.9996638298034668,0.9302455062033375,2.3207999999996787e-05,2.5542239477737235e-05,fast,LearningControllerState.STABLE,0.01735458090003228,0.0003593781965331999,0.0002041037712094962,1770136134.051189
14,0.999949038028717,0.9441862125684135,2.3833999999389732e-05,2.5200591582067735e-05,robust,LearningControllerState.STABLE,0.01394070636507605,7.479597128234872e-05,0.0001949784698487278,1770136134.052182
15,0.9998359680175781,0.9553161636582466,2.2083999999367165e-05,2.4577273265527623e-05,fast,LearningControllerState.STABLE,0.011129951089833057,9.708108520456449e-05,0.00018611598242124217,1770136134.053144
16,0.999722421169281,0.9641974151604535,2.3708000000510765e-05,2.4403418612524253e-05,robust,LearningControllerState.STABLE,0.008881251502206977,0.0003012868307195049,0.00015813577615375607,1770136134.054091
17,0.9998951554298401,0.9713369632143309,2.4165999999326004e-05,2.4355934889884603e-05,fast,LearningControllerState.STABLE,0.007139548053877398,0.00013089575595071068,0.00012901057015923811,1770136134.05507
18,0.9995920658111572,0.9769879837336962,2.3875000000117552e-05,2.4259747911931195e-05,robust,LearningControllerState.STABLE,0.00565102051936528,0.000431809188842891,0.00022935876846297276,1770136134.056036
19,0.999695360660553,0.9815294591190676,2.2083999999367165e-05,2.382459832941839e-05,fast,LearningControllerState.STABLE,0.0045414753853714185,0.000314091247924253,0.00032672333944638865,1770136134.056993
20,0.9998682737350464,0.9851972220422633,2.3500000000176158e-05,2.3759678663569946e-05,fast,LearningControllerState.STABLE,0.0036677629231957054,0.00015522626495378944,0.00024606544113225937,1770136134.057975
21,0.999768853187561,0.9881115482713229,2.3416000000331394e-05,2.3690942930922235e-05,robust,LearningControllerState.STABLE,0.002914326229059516,0.00025456281243929624,0.00012134912890626737,1770136134.0589309
22,0.9997563362121582,0.99044050585949,3.391699999966136e-05,2.573615434467006e-05,robust,LearningControllerState.STABLE,0.002328957588167091,0.00037992998504687847,0.00027758078784145823,1770136134.06029
23,0.9998995065689087,0.9923323060013738,2.3416999999525956e-05,2.5272323475641243e-05,fast,LearningControllerState.STABLE,0.001891800141883837,0.00020595870208772737,0.00012391043109083455,1770136134.061808
24,0.9998497366905212,0.9938357921392034,2.374999999954497e-05,2.4967858780421992e-05,robust,LearningControllerState.STABLE,0.0015034861378295794,0.00017401330947830473,0.0002802656932976433,1770136134.062832
25,0.9997735619544983,0.9950233461022624,2.1874999999837996e-05,2.4349287024305196e-05,robust,LearningControllerState.STABLE,0.0011875539630590293,0.00019940032995613421,0.000248313045501547,1770136134.063796
26,0.9997789263725281,0.9959744621563156,2.2042000000332962e-05,2.388782961951075e-05,robust,LearningControllerState.STABLE,0.0009511160540531804,0.00012696184939642308,0.0002431156274722568,1770136134.064749
27,0.9994221925735474,0.996664008239762,2.19999999995224e-05,2.351026369551308e-05,fast,LearningControllerState.STABLE,0.0006895460834464018,0.0002016826785888881,0.0005998074264521591,1770136134.065697
28,0.9996784329414368,0.997266893180097,2.3374999999603574e-05,2.348321095633118e-05,robust,LearningControllerState.STABLE,0.0006028849403350023,0.000344942058562836,0.00013133252316333,1770136134.066644
29,0.9995887875556946,0.9977312720552166,2.195799999960002e-05,2.317816876498495e-05,fast,LearningControllerState.STABLE,0.00046437887511963094,0.00010874745596378688,0.00043317044430501994,1770136134.067581
30,0.9996597766876221,0.9981169729816978,3.24999999996578e-05,2.504253501191952e-05,robust,LearningControllerState.STABLE,0.0003857009264811584,0.0003727233123775875,0.00013313926715063928,1770136134.068576
31,0.999841570854187,0.9984618925561957,2.175000000015359e-05,2.4384028009566335e-05,fast,LearningControllerState.STABLE,0.0003449195744978928,0.00011052301388581043,0.00018017914581314187,1770136134.069512
32,0.9996501803398132,0.9986995501129192,2.3458000000253776e-05,2.4198822407703825e-05,robust,LearningControllerState.STABLE,0.00023765755672355837,0.00037327766018702135,0.0002058265151978489,1770136134.070455
33,0.9998452067375183,0.9989286814378391,2.204100000025022e-05,2.3767257926213107e-05,fast,LearningControllerState.STABLE,0.00022913132491986232,0.00018884451712075645,0.00017683426248193967,1770136134.0714319
34,0.9995275139808655,0.9990484479464444,2.5707999999902142e-05,2.4155406340950916e-05,robust,LearningControllerState.STABLE,0.00011976650860534566,0.0004981940191344236,0.00022202739715559972,1770136134.0724008
35,0.9996638298034668,0.999171524317849,2.175000000015359e-05,2.3674325072791453e-05,fast,LearningControllerState.STABLE,0.000123076371404518,0.000320504154205814,0.0003579201965333567,1770136134.073344
36,0.9997003674507141,0.999277292944422,2.3875000000117552e-05,2.3714460058256675e-05,robust,LearningControllerState.STABLE,0.00010576862657307728,0.0003235075492860062,0.0002490818826599295,1770136134.0742881
37,0.9997835159301758,0.9993785375415729,2.2083000000172603e-05,2.3388168046639863e-05,fast,LearningControllerState.STABLE,0.00010124459715088463,0.00033981629162571636,0.00023856706982439135,1770136134.075234
38,0.9994937777519226,0.9994015855836429,2.3124999999346585e-05,2.333553443718121e-05,robust,LearningControllerState.STABLE,2.304804206998412e-05,0.0005293472480767392,0.00017764054144286945,1770136134.076183
39,0.9998463988304138,0.9994905482329972,2.224999999977939e-05,2.3118427549700848e-05,fast,LearningControllerState.STABLE,8.89626493543183e-05,0.00039937268066392306,0.00017585116958596103,1770136134.077141
40,0.9995856285095215,0.9995095642883022,2.72080000005559e-05,2.393634203987186e-05,robust,LearningControllerState.STABLE,1.901605530496564e-05,0.0004415794904790715,0.0001638322641293044,1770136134.0782049
41,0.9998758435249329,0.9995828201356284,2.220899999993975e-05,2.359087363188544e-05,fast,LearningControllerState.STABLE,7.32558473262035e-05,0.00032019308453445916,0.00014636547506707842,1770136134.0792162
42,0.9994677901268005,0.9995598141338629,2.3458000000253776e-05,2.356429890555911e-05,robust,LearningControllerState.STABLE,-2.3006001765524253e-05,0.0005556678731997167,9.412741088876686e-05,1770136134.0801542
43,0.9999132752418518,0.9996305063554607,2.2125000000094985e-05,2.3276439124466287e-05,robust,LearningControllerState.STABLE,7.06922215978345e-05,0.00032628580474813873,0.00010884975814828834,1770136134.081085
44,0.999767541885376,0.9996579134614438,2.175000000015359e-05,2.297115129960375e-05,fast,LearningControllerState.STABLE,2.7407105983145996e-05,0.00028921048318508724,0.00025420811462417703,1770136134.082454
45,0.9998683333396912,0.9996999974370934,2.308300000031238e-05,2.2993521039745476e-05,robust,LearningControllerState.STABLE,4.20839756495317e-05,0.00015474966030915027,0.00017820061111439855,1770136134.083806
46,0.9998951554298401,0.9997390290356428,2.1625000000469186e-05,2.271981683189022e-05,robust,LearningControllerState.STABLE,3.903159854945493e-05,0.0007722183383789272,0.0001264695701603813,1770136134.084757
47,0.9999229907989502,0.9997758213883043,2.175000000015359e-05,2.2525853465542893e-05,robust,LearningControllerState.STABLE,3.679235266151881e-05,0.0001619791944582616,9.875920104995828e-05,1770136134.086085
48,0.9995635747909546,0.9997333720688345,2.2083000000172603e-05,2.2437282772468834e-05,robust,LearningControllerState.STABLE,-4.244931946983943e-05,0.0003246415025630611,0.00045850820904558276,1770136134.087007
49,0.9999105930328369,0.9997688162616349,2.1624999999581007e-05,2.227482621789127e-05,robust,LearningControllerState.STABLE,3.544419280043787e-05,7.604234313962621e-05,0.00011103196716266694,1770136134.087927
50,0.9998393654823303,0.999782926105774,2.166699999950339e-05,2.2153260974213695e-05,robust,LearningControllerState.STABLE,1.4109844139076344e-05,0.00020665472448744282,0.00018230151766918112,1770136134.089233
51,0.9999404549598694,0.9998144318765931,2.1792000000075973e-05,2.208100877938615e-05,robust,LearningControllerState.STABLE,3.1505770819117984e-05,0.00014986207943668006,8.133704013069121e-05,1770136134.090153
52,0.999816358089447,0.999814817119164,2.1667000000391567e-05,2.1998207023587236e-05,robust,LearningControllerState.STABLE,3.8524257084393554e-07,0.0004751958120419175,0.00020530891055337008,1770136134.091072
53,0.9998885989189148,0.9998295734791142,2.170899999942577e-05,2.1940365618754944e-05,robust,LearningControllerState.STABLE,1.4756359950185427e-05,7.492143631004922e-05,0.00013311008108463085,1770136134.0924249
54,0.9999181032180786,0.9998472794269071,2.2624999999720785e-05,2.2077292494948115e-05,robust,LearningControllerState.STABLE,1.7705947792934218e-05,0.00040592942410278,0.0001045217819211075,1770136134.0933492
55,0.9998489618301392,0.9998476159075536,2.9167000000107635e-05,2.349523399598002e-05,robust,LearningControllerState.STABLE,3.3648064645674935e-07,0.0002349288173828512,0.00018020516986094748,1770136134.0944781
56,0.9998306632041931,0.9998442253668816,2.229200000058995e-05,2.3254587196902008e-05,fast,LearningControllerState.STABLE,-3.390540671999176e-06,0.00034171901321400355,0.00019162879580747472,1770136134.0958169
57,0.9998453259468079,0.9998444454828668,2.4124999999486363e-05,2.342866975741888e-05,robust,LearningControllerState.STABLE,2.201159852166512e-07,0.00017879905319162503,0.0001895672611080812,1770136134.096836
58,0.9998789429664612,0.9998513449795857,2.224999999977939e-05,2.3192935805890987e-05,robust,LearningControllerState.STABLE,6.899496718948406e-06,0.0003201158752439426,0.00014330703353859775,1770136134.0977979
59,0.9999078512191772,0.9998626462275041,2.2125000000094985e-05,2.2979348644731786e-05,fast,LearningControllerState.STABLE,1.1301247918371615e-05,0.00023152600097642306,0.00011427378082284889,1770136134.098757
60,0.9997740387916565,0.9998449247403346,2.354200000009854e-05,2.309187891580514e-05,robust,LearningControllerState.STABLE,-1.7721487169497507e-05,0.0002495032083436044,0.0002105635646660886,1770136134.0997329
61,0.9997504353523254,0.9998260268627328,2.2042000000332962e-05,2.2881903132710707e-05,robust,LearningControllerState.STABLE,-1.889787760178674e-05,0.0008596515615542089,0.0002716066476748935,1770136134.1006908
62,0.9998845458030701,0.9998377306508004,2.224999999977939e-05,2.2755522506124445e-05,robust,LearningControllerState.STABLE,1.1703788067585208e-05,0.00017873489035036272,0.00013770419692971103,1770136134.102031
