step,reliability,smoothed_reliability,latency,smoothed_latency,active_model,controller_state,deriv,fast_J,robust_J,timestamp
0,0.6456639766693115,0.6456639766693115,5.42080000003331e-05,5.42080000003331e-05,robust,robust,0.0,0.3543902313306888,0.20382754097366318,1770136132.865109
1,0.7702472805976868,0.6705806374549866,2.2041999999888873e-05,4.777480000024426e-05,fast,fast,0.024916660785675115,0.08312056381607036,0.22977476140231312,1770136132.865985
2,0.8323265314102173,0.7029298162460328,2.3207999999996787e-05,4.286144000019477e-05,fast,fast,0.03234917879104615,0.1676966765897827,0.1940303387908937,1770136132.866907
3,0.8131333589553833,0.7249705247879029,2.3207999999996787e-05,3.8930752000155175e-05,fast,fast,0.022040708541870124,0.1868898490446167,0.08541957070904527,1770136132.867837
4,0.8938314914703369,0.7587427181243898,2.2958999999822538e-05,3.5736401600088645e-05,fast,fast,0.033772193336486844,0.10619146752966291,0.09146381036358653,1770136132.868767
5,0.9344165325164795,0.7938774810028077,2.349999999973207e-05,3.328912128001733e-05,fast,fast,0.03513476287841799,0.06560696748352024,0.09989550201815822,1770136132.869678
6,0.427433043718338,0.7205885935459139,3.095900000005258e-05,3.282309702402439e-05,fast,fast,-0.07328888745689388,0.572597915281662,0.17362078346652243,1770136132.875067
7,0.8950046896934509,0.7554718127754213,2.3957999999879576e-05,3.105007761919543e-05,fast,fast,0.034883219229507434,0.10501926830654895,0.17006578942889394,1770136132.876145
8,0.8622451424598694,0.7768264787123109,2.3999999999801958e-05,2.9640062095316737e-05,fast,fast,0.021354665936889616,0.13777885754013042,0.11387677747344949,1770136132.877084
9,0.6469393372535706,0.7508490504205629,3.0790999999918967e-05,2.9870249676237185e-05,fast,fast,-0.025977428291747984,0.35309145374642936,0.14400662545413168,1770136132.878195
10,0.999444842338562,0.8005682088041628,2.3917000000039934e-05,2.8679599740997737e-05,fast,fast,0.04971915838359986,0.0005790746614380282,0.00017250172805782782,1770136132.879313
11,0.999545156955719,0.8403635984344741,2.358299999993818e-05,2.7660279792785826e-05,fast,fast,0.03979538963031126,0.00047842604428094404,0.00023503811682168418,1770136132.8802502
12,0.9998582005500793,0.8722625188575952,2.3332999999681192e-05,2.67948238341649e-05,fast,fast,0.031898920423121147,0.0001651324499203355,0.0001552644042970286,1770136132.881168
13,0.9996638298034668,0.8977427810467695,2.3250000000363258e-05,2.6085859067404573e-05,fast,fast,0.02548026218917432,0.0003594201965335664,0.00020364477120971003,1770136132.882525
14,0.999949038028717,0.9181840324431592,2.3083999999951033e-05,2.5485487253913867e-05,fast,fast,0.020441251396389637,7.404597128291002e-05,0.00019460346984834231,1770136132.883439
15,0.9999270439147949,0.9345326347374864,2.3124999999790674e-05,2.5013389803089227e-05,fast,fast,0.01634860229432722,9.60810852048688e-05,0.00018557398242169398,1770136132.884347
16,0.999722421169281,0.9475705920238454,2.304200000002865e-05,2.4619111842477112e-05,fast,fast,0.013037957286359037,0.0003006208307190228,0.00015755277615348007,1770136132.88526
17,0.9998927712440491,0.9580350278678862,2.3209000000079527e-05,2.4337089473997595e-05,fast,fast,0.010464435844040776,0.00013043775595100726,0.0001267195701597501,1770136132.886164
18,0.9995920658111572,0.9663464354565404,2.279200000021575e-05,2.402807157924123e-05,fast,fast,0.00831140758865423,0.0004307261888429892,0.00022931776846313312,1770136132.887069
19,0.9997093677520752,0.9730190219156474,2.279199999977166e-05,2.3780857263347318e-05,fast,fast,0.006672586459106955,0.00031342424792457635,0.00032647333944701984,1770136132.88799
