step,reliability,smoothed_reliability,latency,smoothed_latency,active_model,controller_state,deriv,fast_J,robust_J,timestamp
0,0.6456639766693115,0.6456639766693115,0.0015124999999998057,0.0015124999999998057,fast,fast,0.0,0.3558485233306883,0.2038291659736633,1770136210.985257
1,0.9169034361839294,0.6999118685722352,2.5332999999960748e-05,0.0012150665999998368,fast,fast,0.05424789190292367,0.08312189681607052,0.22977592740231323,1770136210.9874601
2,0.8323265314102173,0.7263948011398317,2.4708999999845105e-05,0.0009769950799998386,fast,fast,0.026482932567596484,0.16769817758978256,0.19403154779089338,1770136210.988518
3,0.8131333589553833,0.7437425127029421,2.4665999999839983e-05,0.0007865292639998389,fast,fast,0.017347711563110435,0.18689130704461654,0.08542019670904533,1770136210.98953
4,0.8938314914703369,0.7737603084564212,2.5707999999902142e-05,0.0006343650111998516,fast,fast,0.03001779575347907,0.10619421652966299,0.09147197736358637,1770136210.990644
5,0.9344165325164795,0.8058915532684329,3.0999999999892225e-05,0.0005136920089598598,fast,fast,0.03213124481201168,0.0656144674835204,0.09989916801815801,1770136210.991832
6,0.427433043718338,0.730199851358414,2.654199999985174e-05,0.00041626200716785825,fast,fast,-0.07569170191001884,0.5725934982816618,0.17362107546652217,1770136210.997046
7,0.8950046896934509,0.7631608190254214,2.4750000000128836e-05,0.0003379596057343124,fast,fast,0.0329609676670074,0.1050200603065492,0.170065913428894,1770136210.9980679
8,0.8622451424598694,0.782977683712311,2.4459000000032205e-05,0.00027525948458745635,fast,fast,0.01981686468688959,0.13777931654013065,0.11387652747344967,1770136210.999042
9,0.6469393372535706,0.755770014420563,2.408400000009081e-05,0.00022502438766998324,fast,fast,-0.027207669291748005,0.35308474674642953,0.14400520845413212,1770136211.000024
10,0.999444842338562,0.8045049800041629,2.3709000000149416e-05,0.00018476131013601648,fast,fast,0.04873496558359991,0.0005788666614381377,0.0001729177280578309,1770136211.0009742
11,0.999545156955719,0.8435130153944742,2.2874999999977774e-05,0.00015238404810880875,fast,fast,0.03900803539031128,0.00047771804428098363,0.0002345791168212319,1770136211.0018969
12,0.9998582005500793,0.8747820524255953,2.3333999999985977e-05,0.00012657403848704418,fast,fast,0.03126903703112105,0.00016513344992064027,0.00015543140429685742,1770136211.0028071
13,0.9996638298034668,0.8997584079011696,2.2958000000183887e-05,0.00010585083078967214,fast,fast,0.024976355475574308,0.000359128196533387,0.00020322877120970695,1770136211.004124
14,0.999949038028717,0.9197965339266791,2.250000000003638e-05,8.9180664631745e-05,fast,fast,0.020038126025509584,7.346197128299536e-05,0.0001941454698486389,1770136211.005034
15,0.9999270439147949,0.9358226359243024,2.2957999999961842e-05,7.593613170538836e-05,fast,fast,0.01602610199762322,9.591408520503997e-05,0.00018548998242184922,1770136211.005941
16,0.999722421169281,0.9486025929732982,2.291600000003946e-05,6.533210536431858e-05,fast,fast,0.012779957048995816,0.0003004948307190336,0.0001571357761536163,1770136211.006846
17,0.9998927712440491,0.9588606286274485,2.2582999999798403e-05,5.6782284291414546e-05,fast,fast,0.010258035654150288,0.00012981175595072614,0.00012621957015990226,1770136211.007752
18,0.9995920658111572,0.9670069160641903,2.2541000000098066e-05,4.993402743315126e-05,fast,fast,0.00814628743674184,0.0004304751888428715,0.0002285247684632452,1770136211.008657
19,0.9997093677520752,0.9735474064017673,2.250000000003638e-05,4.4447221946528284e-05,fast,fast,0.006540490337576976,0.00031313224792484107,0.0003255973394469258,1770136211.009564
20,0.9998682737350464,0.9788115798684232,2.2832999999833348e-05,4.01243775571893e-05,fast,fast,0.005264173466655864,0.00015455926495344663,0.00024498244113169143,1770136211.0105011
21,0.999768853187561,0.9830030345322508,2.4790999999968477e-05,3.7057702045745134e-05,fast,fast,0.004191454663827643,0.0002559378124389333,0.00012651512890626826,1770136211.011623
22,0.9996434450149536,0.9863311166287915,2.4666999999922723e-05,3.4579561636580656e-05,fast,fast,0.0033280820965406743,0.00038122198504630944,0.0002661637878416112,1770136211.013079
23,0.9998241662979126,0.9890297265626158,2.3625000000082608e-05,3.238864930928105e-05,fast,fast,0.002698609933824314,0.00019945870208748495,0.0001229514310914226,1770136211.014426
24,0.9998497366905212,0.9911937285881969,2.3874999999895508e-05,3.0685919447403944e-05,fast,fast,0.002164002025581091,0.00017413830947865527,0.0002799746932982128,1770136211.015383
25,0.999823808670044,0.9929197446045663,2.391699999981789e-05,2.9332135557886737e-05,fast,fast,0.0017260160163694582,0.00020010832995587258,0.0002488130455018389,1770136211.0163321
26,0.9998967051506042,0.9943151367137739,2.366700000000499e-05,2.819910844631039e-05,fast,fast,0.0013953921092075827,0.00012696184939575694,0.0002432406274719412,1770136211.0172749
27,0.9998219013214111,0.9954164896353014,2.3832999999973126e-05,2.7325886757042937e-05,fast,fast,0.0011013529215274653,0.0002019316785888403,0.00059959842645263,1770136211.0182242
28,0.9996784329414368,0.9962688782965285,2.3375000000047663e-05,2.6535709405643884e-05,fast,fast,0.0008523886612271658,0.0003449420585632801,0.0001309995231628669,1770136211.019163
29,0.9999145865440369,0.9969980199460302,2.291600000003946e-05,2.5811767524523e-05,fast,fast,0.0007291416495016634,0.00010832945596317423,0.00043271244430553857,1770136211.0201101
30,0.9996597766876221,0.9975303712943486,2.312500000001272e-05,2.5274414019620947e-05,fast,fast,0.0005323513483184161,0.0003633483123779424,0.00013259726715086906,1770136211.021056
31,0.9999125599861145,0.9980068090327019,2.450000000009389e-05,2.5119531215715538e-05,fast,fast,0.00047643773835326364,0.00011194001388559194,0.00018159514581306269,1770136211.022013
32,0.9996501803398132,0.9983354832941242,2.4667000000144768e-05,2.5029024972601387e-05,fast,fast,0.000328674261422357,0.00037448666018691235,0.00020649251519766487,1770136211.022992
33,0.9998342394828796,0.9986352345318754,2.4666999999922723e-05,2.4956619978065657e-05,fast,fast,0.00029975123775116685,0.00019042751712028405,0.00017766826248166723,1770136211.02403
34,0.9995275139808655,0.9988136904216736,2.462500000000034e-05,2.4890295982452595e-05,fast,fast,0.00017845588979814586,0.0004971110191345218,0.00022294339715589473,1770136211.0250208
35,0.9997028708457947,0.9989915265064979,2.458300000007796e-05,2.4828836785977668e-05,fast,fast,0.00017783608482435653,0.0003217121542054002,0.00035887819653313,1770136211.026003
36,0.9997003674507141,0.9991332946953413,3.220799999992252e-05,2.6304669428766642e-05,fast,fast,0.00014176818884337195,0.0003318405492858112,0.0002533738826597798,1770136211.027172
37,0.999683141708374,0.9992432640979478,2.8042000000061407e-05,2.6652135543025597e-05,fast,fast,0.00010996940260654675,0.00034490029162603797,0.00024077506982411734,1770136211.028569
38,0.9994937777519226,0.9992933668287428,2.579099999988621e-05,2.6479908434397722e-05,fast,fast,5.01027307949764e-05,0.0005320132480772788,0.00017968154144298865,1770136211.029712
39,0.9996242523193359,0.9993595439268615,2.441699999988778e-05,2.6067326747495735e-05,fast,fast,6.617709811873596e-05,0.0004001646806639503,0.00017710116958613575,1770136211.030737
40,0.9995856285095215,0.9994047608433936,2.48339999999736e-05,2.582066139799131e-05,fast,fast,4.5216916532031526e-05,0.0004392054904784892,0.00016170626412947975,1770136211.031733
41,0.9997037649154663,0.9994645616578082,2.7541999999991518e-05,2.616492911839135e-05,fast,fast,5.9800814414590064e-05,0.0003237770845336829,0.00014807247506709587,1770136211.032937
42,0.9994677901268005,0.9994652073516067,2.641699999994529e-05,2.621534329470214e-05,fast,fast,6.456937985399591e-07,0.0005586268731994082,9.679341088864035e-05,1770136211.033995
43,0.9996970891952515,0.9995115837203358,2.470799999998441e-05,2.5913874635758595e-05,fast,fast,4.637636872906192e-05,0.00032761880474851957,0.00010980775814806165,1770136211.035002
44,0.9997345805168152,0.9995561830796317,2.4542000000016273e-05,2.5639499708610133e-05,fast,fast,4.459935929590486e-05,0.0002899614831848307,0.0002556241146238758,1770136211.0364292
45,0.9998683333396912,0.9996186131316437,2.3875000000117552e-05,2.528659976691162e-05,fast,fast,6.243005201200802e-05,0.00015554166030895544,0.00017915961111447665,1770136211.0377998
46,0.9992513656616211,0.9995451636376391,2.3791000000050744e-05,2.4987479813539445e-05,fast,fast,-7.344949400456269e-05,0.000772425338378957,0.00012713557015997523,1770136211.0387661
47,0.999861478805542,0.9996084266712197,2.5208000000054298e-05,2.503158385084242e-05,fast,fast,6.326303358061836e-05,0.0001637291944580621,9.938420104971257e-05,1770136211.040138
48,0.9996984004974365,0.9996264214364632,2.4250000000058947e-05,2.4875267080685728e-05,fast,fast,1.7994765243445343e-05,0.0003258495025635355,0.00046009220904541515,1770136211.04111
49,0.9999468326568604,0.9996905036805427,2.533400000004349e-05,2.4967013664557282e-05,fast,fast,6.40822440794997e-05,7.850134313969193e-05,0.0001184909671632095,1770136211.0423832
50,0.9998161792755127,0.9997156387995367,3.170799999985263e-05,2.6315210931616355e-05,fast,fast,2.51351189940463e-05,0.00021552872448715732,0.0001955925176697626,1770136211.045082
51,0.9998732209205627,0.999747155223742,3.1416999999978046e-05,2.7335568745288697e-05,fast,fast,3.1516424205291216e-05,0.0001581960794372339,8.537804013064587e-05,1770136211.046546
52,0.9995481371879578,0.9997073516165852,2.7291999999956573e-05,2.7326854996222275e-05,fast,fast,-3.9803607156829734e-05,0.0004791548120421929,0.00020826691055297886,1770136211.047647
