step,reliability,smoothed_reliability,latency,smoothed_latency,active_model,controller_state,deriv,fast_J,robust_J,timestamp
0,0.7961952090263367,0.7961952090263367,2.1833999999998355e-05,2.1833999999998355e-05,fast,robust,0.0,0.3543870653306884,0.20382662497366333,1770136211.5911329
1,0.7702472805976868,0.7910056233406068,2.1666999999947478e-05,2.1800599999988178e-05,fast,robust,-0.005189585685729914,0.08311935581607033,0.22977438640231318,1770136211.591984
2,0.8059914112091064,0.7940027809143068,2.1040999999666354e-05,2.1648679999923815e-05,fast,robust,0.0029971575737000045,0.16769588558978255,0.19402962979089322,1770136211.592888
3,0.9146026372909546,0.8181227521896364,2.1375000000212196e-05,2.159394399998149e-05,fast,robust,0.02411997127532961,0.18689014104461688,0.08541873770904562,1770136211.593795
4,0.9085577726364136,0.8362097562789919,2.120800000016132e-05,2.151675520001746e-05,fast,robust,0.018087004089355485,0.10619105052966304,0.09146343536358659,1770136211.594701
5,0.900126039981842,0.848993013019562,2.1083000000032825e-05,2.1430004160020533e-05,fast,robust,0.012783256740570126,0.0656063014835202,0.09989504301815799,1770136211.5955892
6,0.8264020085334778,0.8444748121223452,2.1583000000102714e-05,2.1460603328036972e-05,fast,robust,-0.004518200897216773,0.572597539281662,0.17361957446652232,1770136211.600769
7,0.829957127571106,0.8415712752120974,2.170800000023121e-05,2.151008266247582e-05,fast,robust,-0.002903536910247806,0.10501797730654916,0.17006458042889427,1770136211.601778
8,0.8861454725265503,0.850486114674988,2.1041000000110444e-05,2.1416266130002743e-05,fast,robust,0.008914839462890622,0.13777739954013057,0.11387556847344982,1770136211.602668
9,0.8560172915458679,0.8515923500491641,2.3415999999887305e-05,2.1816212903979656e-05,fast,robust,0.00110623537417609,0.3530835377464294,0.14400612445413197,1770136211.603598
10,0.9998494982719421,0.8812437796937198,2.279099999968892e-05,2.201117032312151e-05,fast,robust,0.029651429644555694,0.0005817826614378241,0.00017329272805755025,1770136211.604723
11,0.9997880458831787,0.9049526329316117,2.2083000000172603e-05,2.2025536258531728e-05,fast,robust,0.023708853237891847,0.0004788430442812519,0.00023403711682146167,1770136211.605739
12,0.9998664855957031,0.92393540346443,2.195800000004411e-05,2.2012029006834205e-05,fast,robust,0.018982770532818383,0.00016592444992058475,0.0001554724042969191,1770136211.6066859
13,0.9998181462287903,0.9391119520173021,2.2082999999728514e-05,2.2026223205413068e-05,fast,robust,0.015176548552872093,0.0003600031965333983,0.0002039367712094453,1770136211.608045
14,0.9998271465301514,0.951254990919872,2.175000000015359e-05,2.1970978564361173e-05,fast,robust,0.012143038902569847,7.412797128303339e-05,0.0001946034698487864,1770136211.608971
15,0.9998359680175781,0.9609711863394133,2.1666999999947478e-05,2.1910182851478433e-05,fast,robust,0.009716195419541274,9.64560852048102e-05,0.00018569898242182248,1770136211.609921
16,0.9998642802238464,0.9687498051162999,2.3417000000414134e-05,2.2211546281265572e-05,fast,robust,0.007778618776886681,0.0003004128307186882,0.0001591367761539786,1770136211.61088
17,0.9998951554298401,0.974978875179008,2.195899999968276e-05,2.216103702494901e-05,fast,robust,0.00622907006270812,0.00013527075595121119,0.00012680357015959487,1770136211.611884
18,0.9997925162315369,0.9799416033895139,2.1375000000212196e-05,2.200382962000165e-05,fast,robust,0.004962728210505807,0.00043085018884303494,0.00022885876846334696,1770136211.612822
19,0.999695360660553,0.9838923548437217,2.1375000000212196e-05,2.187806369604376e-05,fast,robust,0.003950751454207868,0.00031367424792483334,0.0003260143394472337,1770136211.613729
20,0.9997761845588684,0.987069120786751,2.1083000000032825e-05,2.1719050956841574e-05,fast,robust,0.0031767659430292916,0.00015435126495333407,0.0002448984411316246,1770136211.614657
21,0.9999008178710938,0.9896354602036196,2.0832999999775836e-05,2.1541840765428425e-05,fast,robust,0.0025663394168685683,0.0002536468124390012,0.00012001512890602584,1770136211.6155531
22,0.9997563362121582,0.9916596354053273,2.120800000016132e-05,2.1475072612375006e-05,fast,robust,0.002024175201707723,0.0003793469850461584,0.0002648717878419582,1770136211.616831
23,0.9998995065689087,0.9933076096380437,2.116599999979485e-05,2.1413258089858973e-05,fast,robust,0.0016479742327163427,0.00019841670208764484,0.00012165943109110344,1770136211.618109
24,0.9997421503067017,0.9945945177717753,2.1292000000006084e-05,2.1389006471888395e-05,fast,robust,0.001286908133731668,0.00017288830947892464,0.00027914169329834593,1770136211.619021
25,0.9997735619544983,0.99563032660832,2.116599999979485e-05,2.1344405177469685e-05,fast,robust,0.0010358088365446383,0.00019898332995582635,0.00024760404550150383,1770136211.619915
