step,reliability,smoothed_reliability,latency,smoothed_latency,active_model,controller_state,deriv,fast_J,robust_J,timestamp
0,0.6456639766693115,0.6456639766693115,0.0017610000000001236,0.0017610000000001236,fast,fast,0.0,0.3560970233306886,0.20383720697366337,1770136385.478358
1,0.9169034361839294,0.6999118685722352,2.7041000000060933e-05,0.001414208200000111,fast,fast,0.05424789190292367,0.08312360481607062,0.22977709440231342,1770136385.480652
2,0.8323265314102173,0.7263948011398317,2.5500000000011624e-05,0.001136466560000091,fast,fast,0.026482932567596484,0.16769896858978273,0.19403187979089354,1770136385.481738
3,0.8131333589553833,0.7437425127029421,2.4249999999836902e-05,0.0009140232480000402,fast,fast,0.017347711563110435,0.18689089104461654,0.08542719570904533,1770136385.482792
4,0.8938314914703369,0.7737603084564212,2.3958999999962316e-05,0.0007360103984000247,fast,fast,0.03001779575347907,0.10619246752966305,0.09146664436358654,1770136385.483785
5,0.9344165325164795,0.8058915532684329,3.0167000000025368e-05,0.0005948417187200248,fast,fast,0.03213124481201168,0.06561363448352053,0.09989850201815798,1770136385.485007
6,0.427433043718338,0.730199851358414,3.083300000006339e-05,0.00048203997497603255,fast,fast,-0.07569170191001884,0.572597789281662,0.17362361646652213,1770136385.4902642
7,0.8950046896934509,0.7631608190254214,2.4999999999941735e-05,0.00039063197998081444,fast,fast,0.0329609676670074,0.10502031030654901,0.17006612242889396,1770136385.491308
8,0.8622451424598694,0.782977683712311,2.4374999999965397e-05,0.00031738058398464463,fast,fast,0.01981686468688959,0.13777923254013058,0.11387936047344982,1770136385.492295
9,0.6469393372535706,0.755770014420563,2.5959000000019827e-05,0.00025909626718771965,fast,fast,-0.027207669291748005,0.35308662174642946,0.1440061674541322,1770136385.4933949
10,0.999444842338562,0.8045049800041629,2.7957999999994598e-05,0.00021286861375017466,fast,fast,0.04873496558359991,0.0005831156614379829,0.00017450172805788533,1770136385.494463
11,0.999545156955719,0.8435130153944742,2.4999999999941735e-05,0.0001752948910001281,fast,fast,0.03900803539031128,0.0004798430442809476,0.00023482911682126684,1770136385.49552
12,0.9998582005500793,0.8747820524255953,3.7416999999928535e-05,0.0001477193128000882,fast,fast,0.03126903703112105,0.00017921644992058283,0.00016330540429687623,1770136385.497092
13,0.9996638298034668,0.8997584079011696,0.00044599999999994644,0.00020737545024005985,fast,fast,0.024976355475574308,0.0007821701965331496,0.00035852077120979153,1770136385.517266
14,0.999949038028717,0.9197965339266791,0.00031737500000006413,0.00022937536019206073,fast,fast,0.020038126025509584,0.0003683369712830231,0.0032884364698486657,1770136385.526548
15,0.9999270439147949,0.9358226359243024,3.920800000001279e-05,0.00019134188815365114,fast,fast,0.01602610199762322,0.00011216408520509091,0.00019057298242186604,1770136385.534456
16,0.999722421169281,0.9486025929732982,4.887499999983724e-05,0.00016284851052288836,fast,fast,0.012779957048995816,0.0003264538307188314,0.00016488677615345004,1770136385.545843
17,0.9998927712440491,0.9588606286274485,2.7416000000002327e-05,0.00013576200841831118,fast,fast,0.010258035654150288,0.00013464475595093006,0.00013013657015981117,1770136385.5471308
18,0.9995920658111572,0.9670069160641903,2.8000000000139025e-05,0.00011420960673467676,fast,fast,0.00814628743674184,0.00043593418884291246,0.00023098376846308888,1770136385.5482519
19,0.9997093677520752,0.9735474064017673,2.5417000000027556e-05,9.645108538774692e-05,fast,fast,0.006540490337576976,0.00031604924792483224,0.00032805633944699153,1770136385.54933
20,0.9998682737350464,0.9788115798684232,2.6249999999894413e-05,8.241086831017642e-05,fast,fast,0.005264173466655864,0.0001579762649535077,0.000254399441131703,1770136385.550565
21,0.999768853187561,0.9830030345322508,7.700000000010476e-05,8.13286946481621e-05,fast,fast,0.004191454663827643,0.0003081468124390696,0.00012755712890633042,1770136385.5614421
22,0.9996434450149536,0.9863311166287915,3.466600000012754e-05,7.199615571855519e-05,fast,fast,0.0033280820965406743,0.00039122098504651426,0.0002687467878417227,1770136385.5639281
23,0.9998241662979126,0.9890297265626158,2.5500000000011624e-05,6.269692457484648e-05,fast,fast,0.002698609933824314,0.00020133370208741397,0.00012316043109139585,1770136385.56546
24,0.9998497366905212,0.9911937285881969,2.8082999999901048e-05,5.5774139659857394e-05,fast,fast,0.002164002025581091,0.00017834630947866081,0.0002797246932983999,1770136385.5664158
25,0.999823808670044,0.9929197446045663,2.3083000000090337e-05,4.923591172790399e-05,fast,fast,0.0017260160163694582,0.00019927432995614502,0.0002483550455016914,1770136385.567361
26,0.9998967051506042,0.9943151367137739,2.3499999999954113e-05,4.4088729382314016e-05,fast,fast,0.0013953921092075827,0.00012679484939570607,0.00024282362747207742,1770136385.568307
27,0.9998219013214111,0.9954164896353014,2.3832999999973126e-05,4.003758350584584e-05,fast,fast,0.0011013529215274653,0.0002019316785888403,0.0005997654264526808,1770136385.5692532
28,0.9996784329414368,0.9962688782965285,2.4125000000152497e-05,3.685506680470717e-05,fast,fast,0.0008523886612271658,0.0003456920585633849,0.00013149952316293678,1770136385.570187
29,0.9999145865440369,0.9969980199460302,2.3416999999970045e-05,3.416745344375975e-05,fast,fast,0.0007291416495016634,0.00010883045596310481,0.0004338374443055848,1770136385.571129
30,0.9996597766876221,0.9975303712943486,2.2959000000044583e-05,3.192576275501672e-05,fast,fast,0.0005323513483184161,0.00036318231237797427,0.00013280526715098162,1770136385.572074
31,0.9999125599861145,0.9980068090327019,2.324999999991917e-05,3.019061020399721e-05,fast,fast,0.00047643773835326364,0.00011069001388541722,0.00018042914581295477,1770136385.573003
32,0.9996501803398132,0.9983354832941242,2.825000000017397e-05,2.980248816323256e-05,fast,fast,0.000328674261422357,0.00037806966018694155,0.00021115951519767862,1770136385.57394
33,0.9998342394828796,0.9986352345318754,2.3250000000141213e-05,2.8491990530614293e-05,fast,fast,0.00029975123775116685,0.00018901051712050254,0.00017671026248167188,1770136385.57491
34,0.9995275139808655,0.9988136904216736,2.266699999986521e-05,2.732699242446448e-05,fast,fast,0.00017845588979814586,0.0004951530191343867,0.00022198539715567733,1770136385.57583
35,0.9997028708457947,0.9989915265064979,2.304200000002865e-05,2.6469993939577314e-05,fast,fast,0.00017783608482435653,0.0003201711542053509,0.0003579201965333567,1770136385.5767732
36,0.9997003674507141,0.9991332946953413,2.5124999999848185e-05,2.620099515163149e-05,fast,fast,0.00014176818884337195,0.00032475754928573686,0.0002500818826598472,1770136385.5777228
37,0.999683141708374,0.9992432640979478,2.3708000000066676e-05,2.570239612131853e-05,fast,fast,0.00010996940260654675,0.00034056629162604324,0.00023777506982436414,1770136385.57869
38,0.9994937777519226,0.9992933668287428,2.4249999999836902e-05,2.5411916897022206e-05,fast,fast,5.01027307949764e-05,0.0005304722480772295,0.00017914054144285707,1770136385.579644
39,0.9996242523193359,0.9993595439268615,2.312500000001272e-05,2.4954533517620313e-05,fast,fast,6.617709811873596e-05,0.0003988726806640752,0.00017501816958609417,1770136385.5805728
40,0.9995856285095215,0.9994047608433936,2.3292000000063595e-05,2.462202681410897e-05,fast,fast,4.5216916532031526e-05,0.0004376634904785792,0.00016374826412945964,1770136385.581495
41,0.9997037649154663,0.9994645616578082,2.2667000000087256e-05,2.423102145130463e-05,fast,fast,5.9800814414590064e-05,0.00031890208453377866,0.00014565647506703527,1770136385.582413
42,0.9994677901268005,0.9994652073516067,2.3167000000157145e-05,2.4018217161075136e-05,fast,fast,6.456937985399591e-07,0.00055537687319962,9.333541088873964e-05,1770136385.5833259
43,0.9996970891952515,0.9995115837203358,2.2791999999993706e-05,2.377297372885885e-05,fast,fast,4.637636872906192e-05,0.00032570280474852886,0.00010801675814819944,1770136385.584244
44,0.9997345805168152,0.9995561830796317,2.29170000001222e-05,2.3601778983111522e-05,fast,fast,4.459935929590486e-05,0.00028833648318493665,0.0002537081146238851,1770136385.585592
45,0.9998683333396912,0.9996186131316437,2.279100000013301e-05,2.3439623186515823e-05,fast,fast,6.243005201200802e-05,0.0001544576603089709,0.00017828361111438262,1770136385.586903
46,0.9992513656616211,0.9995451636376391,2.2791999999993706e-05,2.33100985492114e-05,fast,fast,-7.344949400456269e-05,0.0007714263383789,0.00012746957015985494,1770136385.5878341
47,0.999861478805542,0.9996084266712197,2.2915999999817416e-05,2.3231278839332603e-05,fast,fast,6.326303358061836e-05,0.00016143719445782523,9.830020104972803e-05,1770136385.5891469
48,0.9996984004974365,0.9996264214364632,2.2374999999907885e-05,2.306002307144766e-05,fast,fast,1.7994765243445343e-05,0.00032397450256338445,0.000457841209045462,1770136385.590058
49,0.9999468326568604,0.9996905036805427,2.2083999999811255e-05,2.286481845712038e-05,fast,fast,6.40822440794997e-05,7.525134313945969e-05,0.00011086496716306016,1770136385.59097
50,0.9998161792755127,0.9997156387995367,2.2791999999993706e-05,2.2850254765695044e-05,fast,fast,2.51351189940463e-05,0.0002066127244872984,0.00018200951766966789,1770136385.592275
51,0.9998732209205627,0.999747155223742,2.266699999986521e-05,2.281360381252908e-05,fast,fast,3.1516424205291216e-05,0.00014944607943712107,8.079504013047689e-05,1770136385.593193
52,0.9995481371879578,0.9997073516165852,3.083399999992409e-05,2.441768305000808e-05,fast,fast,-3.9803607156829734e-05,0.0004826968120421604,0.00021310091055282143,1770136385.5942662
53,0.9999482035636902,0.9997555220060063,3.0291999999931818e-05,2.559254643999283e-05,fast,fast,4.8170389421064996e-05,8.208843630974627e-05,0.00013715108108525165,1770136385.595873
54,0.9996172785758972,0.9997278733199845,3.062499999995083e-05,2.6599037151984435e-05,fast,fast,-2.7648686021786162e-05,0.00041334642410273403,0.00010948078192130062,1770136385.5971708
55,0.9998149871826172,0.9997452960925111,2.4250000000058947e-05,2.6129229721599338e-05,fast,fast,1.7422772526587416e-05,0.00020926281738287145,0.0001738291698607508,1770136385.598197
56,0.9996892809867859,0.9997340930713661,2.3624999999860563e-05,2.5628383777251585e-05,fast,fast,-1.1203021144989833e-05,0.0003343440132139719,0.00019175379580671503,1770136385.599165
57,0.9998453259468079,0.9997563396464544,2.3958999999962316e-05,2.529450702179373e-05,fast,fast,2.2246575088313847e-05,0.000178633053192101,0.00018985826110839987,1770136385.600124
58,0.9997038841247559,0.9997458485421147,2.366700000000499e-05,2.496900561743598e-05,fast,fast,-1.0491104339704904e-05,0.0003197828752441456,0.00014314003353876892,1770136385.601079
59,0.9997920989990234,0.9997550986334964,3.6249999999959925e-05,2.7225204493940774e-05,fast,fast,9.250091381751702e-06,0.0002441510009765224,0.00011398278082275226,1770136385.602101
60,0.9997740387916565,0.9997588866651285,2.345900000011447e-05,2.6471963595175516e-05,fast,fast,3.788031632034894e-06,0.00024942020834362033,0.00017835456466674948,1770136385.6030478
61,0.999163806438446,0.9996398706197921,2.341700000019209e-05,2.5860970876178832e-05,fast,fast,-0.00011901604533637311,0.0008596105615541472,0.00027156464767452704,1770136385.604002
62,0.9998448491096497,0.9996808663177637,2.575000000004657e-05,2.583877670095238e-05,fast,fast,4.0995697971557554e-05,0.00018090089035038837,0.00013753719693010424,1770136385.605393
63,0.999823808670044,0.9997094547882197,2.3332999999903237e-05,2.5337621360742554e-05,fast,fast,2.8588470456059056e-05,0.00019952432995595792,0.00024988716162099855,1770136385.606727
64,0.9998520612716675,0.9997379760849093,2.3292000000063595e-05,2.4928497088606763e-05,fast,fast,2.852129668962089e-05,0.00017123072833258313,0.00012092633819582588,1770136385.60767
65,0.9994630217552185,0.9996829852189713,2.3624999999860563e-05,2.4667797670857524e-05,fast,fast,-5.4990865938076006e-05,0.0005606032447813547,0.0001347775461120193,1770136385.608651
66,0.9998741745948792,0.9997212230941529,2.370799999984463e-05,2.4475838136654947e-05,fast,fast,3.82378751816459e-05,0.00014953340512069424,0.00010454301470952387,1770136385.609619
67,0.9997926354408264,0.9997355055634877,6.387499999993551e-05,3.235567050931106e-05,fast,fast,1.4282469334769843e-05,0.0002712395591735195,0.0002987913894652028,1770136385.611066
68,0.9996713399887085,0.9997226724485319,2.495899999988005e-05,3.087633640742486e-05,fast,fast,-1.2833114955812519e-05,0.00035361901129138396,0.00010774043273942269,1770136385.612525
