step,reliability,smoothed_reliability,latency,smoothed_latency,active_model,controller_state,deriv,fast_J,robust_J,timestamp
0,0.6456639766693115,0.6456639766693115,5.5584000000052924e-05,5.5584000000052924e-05,robust,StabilityState.DEGRADED,0.0,0.35439160733068853,0.20382749897366326,1770136387.892411
1,0.7702472805976868,0.6705806374549866,2.220900000038384e-05,4.8909000000119115e-05,fast,StabilityState.STABLE,0.024916660785675115,0.08312060581607028,0.22977492840231362,1770136387.893297
2,0.8323265314102173,0.7029298162460328,2.4000000000246047e-05,4.3927200000144506e-05,fast,StabilityState.STABLE,0.03234917879104615,0.16769746858978296,0.1940324217908933,1770136387.894269
3,0.8131333589553833,0.7249705247879029,2.383300000019517e-05,3.990836000015464e-05,robust,StabilityState.DEGRADED,0.022040708541870124,0.1868904740446169,0.08541986270904545,1770136387.8952708
4,0.9085577726364136,0.761687974357605,2.2041999999888873e-05,3.6335088000101486e-05,robust,StabilityState.DEGRADED,0.03671744956970213,0.10619196652966334,0.09146426936358631,1770136387.8962271
5,0.900126039981842,0.7893755874824525,2.2332999999985503e-05,3.353467040007829e-05,robust,StabilityState.DEGRADED,0.027687613124847466,0.06560680148352027,0.09989629301815794,1770136387.8971589
6,0.8264020085334778,0.7967808716926577,2.2834000000138133e-05,3.1394536320090265e-05,robust,StabilityState.DEGRADED,0.007405284210205143,0.5725934982816621,0.17362082546652235,1770136387.902207
7,0.829957127571106,0.8034161228683474,2.1833999999998355e-05,2.9482429056071884e-05,robust,StabilityState.DEGRADED,0.006635251175689749,0.1050191013065489,0.17006470642889404,1770136387.9032
8,0.8861454725265503,0.819961992799988,2.1833999999998355e-05,2.795274324485718e-05,robust,StabilityState.DEGRADED,0.016545869931640644,0.13777827454013059,0.1138763614734497,1770136387.904138
9,0.8560172915458679,0.8271730525491641,2.6042000000003895e-05,2.7570594595886523e-05,robust,StabilityState.DEGRADED,0.007211059749176019,0.3530852467464296,0.14400875045413208,1770136387.9052129
10,0.9998494982719421,0.8617083416937197,2.3332999999681192e-05,2.672307567664546e-05,robust,StabilityState.DEGRADED,0.034535289144555614,0.0005806996614379223,0.00017383472805754252,1770136387.906226
11,0.9997880458831787,0.8893242825316116,2.2415999999747527e-05,2.5861660541265875e-05,robust,StabilityState.DEGRADED,0.027615940837891872,0.0004793010442813994,0.0002343701168210366,1770136387.907188
12,0.9998664855957031,0.9114327231444299,2.2083999999811255e-05,2.5106128432974952e-05,robust,StabilityState.DEGRADED,0.02210844061281836,0.0001658834499207451,0.00015559840429668625,1770136387.908129
13,0.9998181462287903,0.929109807761302,2.2083999999811255e-05,2.4501702746342212e-05,robust,StabilityState.DEGRADED,0.01767708461687212,0.00035987919653335254,0.00020393777120952805,1770136387.909485
14,0.9998271465301514,0.943253275515072,3.0417000000060312e-05,2.568476219708583e-05,robust,StabilityState.DEGRADED,0.014143467753769956,7.466997128302566e-05,0.00020327046984869312,1770136387.910419
15,0.9998359680175781,0.9545698140155733,2.2082999999728514e-05,2.4964409757614368e-05,robust,StabilityState.DEGRADED,0.011316538500501294,9.666508520522754e-05,0.00018611498242160351,1770136387.911399
16,0.9998642802238464,0.963628707257228,2.3708000000066676e-05,2.471312780610483e-05,robust,StabilityState.DEGRADED,0.009058893241654764,0.0003027038307186203,0.00015942777615363113,1770136387.912388
17,0.9998951554298401,0.9708819968917505,2.141699999969049e-05,2.4053902244821964e-05,robust,StabilityState.DEGRADED,0.007253289634522431,0.00013310375595088075,0.0001262615701596026,1770136387.913492
18,0.9997925162315369,0.9766641007597078,2.1332999999845725e-05,2.3509721795826716e-05,robust,StabilityState.DEGRADED,0.0057821038679573,0.0004304341888428098,0.0002288167684629805,1770136387.914416
19,0.999695360660553,0.9812703527398768,2.195799999960002e-05,2.3199377436581378e-05,robust,StabilityState.DEGRADED,0.004606251980169063,0.00031325724792496956,0.0003265973394466215,1770136387.915332
20,0.9997761845588684,0.9849715191036752,2.1374999999768107e-05,2.2834501949218727e-05,robust,StabilityState.DEGRADED,0.0037011663637983583,0.00015430926495385577,0.0002451904411313599,1770136387.916287
21,0.9999008178710938,0.987957378857159,2.1499999999896602e-05,2.2567601559354304e-05,robust,StabilityState.DEGRADED,0.002985859753483755,0.00025372981243876325,0.0001206821289061466,1770136387.917202
22,0.9997563362121582,0.9903171703281588,2.120799999971723e-05,2.2295681247426888e-05,robust,StabilityState.DEGRADED,0.00235979147099985,0.000379221985046474,0.0002648717878415141,1770136387.91856
23,0.9998995065689087,0.9922336375763088,2.1332999999845725e-05,2.2103144997910656e-05,robust,StabilityState.DEGRADED,0.0019164672481499778,0.00019883370208706452,0.00012182643109115432,1770136387.9198542
24,0.9997421503067017,0.9937353401223874,2.1583999999741366e-05,2.1999315998276798e-05,robust,StabilityState.DEGRADED,0.0015017025460786204,0.0001730973094788979,0.0002794336932980812,1770136387.920767
25,0.9997735619544983,0.9949429844888097,2.1416000000051838e-05,2.1882652798631806e-05,robust,StabilityState.DEGRADED,0.0012076443664222891,0.00019860832995588495,0.0002478540455017608,1770136387.92167
26,0.9997789263725281,0.9959101728655534,2.254199999995876e-05,2.2014522238897197e-05,robust,StabilityState.DEGRADED,0.0009671883767436995,0.00012604484939560123,0.0002436156274718826,1770136387.922602
27,0.9994221925735474,0.9966125768071522,2.1625000000025096e-05,2.1936617791122778e-05,robust,StabilityState.DEGRADED,0.000702403941598817,0.00020047367858877507,0.0005994324264526618,1770136387.9235241
28,0.9998906254768372,0.9972681865410893,2.116599999979485e-05,2.178249423285719e-05,robust,StabilityState.DEGRADED,0.0006556097339370792,0.0003440250585633464,0.00013054052316263665,1770136387.924475
29,0.9995887875556946,0.9977323067440104,2.120899999979997e-05,2.1667795386245746e-05,robust,StabilityState.DEGRADED,0.00046412020292108114,0.00010816345596298405,0.0004324214443052199,1770136387.925376
30,0.9998887777328491,0.9981636009417781,2.1583000000102714e-05,2.1650836309017143e-05,robust,StabilityState.DEGRADED,0.0004312941977677731,0.00036272331237796607,0.00013280526715098162,1770136387.926301
