step,reliability,smoothed_reliability,latency,smoothed_latency,active_model,controller_state,deriv,fast_J,robust_J,timestamp
0,0.9971299767494202,0.9971299767494202,5.295800000038042e-05,5.295800000038042e-05,fast,fast,0.0,0.0029229812505802144,0.001508634189605118,1770136391.089238
1,0.9998787641525269,0.9976797342300415,2.3417000000414134e-05,4.704980000038717e-05,fast,fast,0.0005497574806213601,0.00014465284747355867,0.00032294964218149147,1770136391.0901608
2,0.9980396628379822,0.9977517199516297,2.3207999999996787e-05,4.22814400003091e-05,fast,fast,7.198572158817473e-05,0.001983545162017819,0.00286644706726058,1770136391.091112
3,0.9997328519821167,0.9981479463577272,2.3374999999603574e-05,3.8500152000168e-05,fast,fast,0.0003962264060974885,0.00029052301788290436,0.00011288550186172586,1770136391.092073
4,0.9997637271881104,0.9984711025238039,2.3415999999443216e-05,3.5483321600023046e-05,fast,fast,0.00032315616607669906,0.00025968881188909165,0.0001583274040219962,1770136391.093044
5,0.9964499473571777,0.9980668714904788,2.3084000000395122e-05,3.3003457280097464e-05,fast,fast,-0.0004042310333250976,0.0035731366428226607,0.0035789952012938997,1770136391.094016
6,0.9947584867477417,0.9974051945419314,2.483299999944677e-05,3.136936582396733e-05,fast,fast,-0.0006616769485473517,0.0052663462522577476,0.0013953040620728885,1770136391.098666
7,0.9979125261306763,0.9975066608596805,2.2916999999900156e-05,2.9678892659153893e-05,fast,fast,0.00010146631774909931,0.0021103908693236306,0.0031999772872932652,1770136391.099604
8,0.9995151162147522,0.9979083519306948,2.2708000000370987e-05,2.8284714127397315e-05,fast,fast,0.00040169107101428736,0.0005075917852481737,0.00048680427569625095,1770136391.100513
9,0.9993821382522583,0.9982031091950075,2.279100000013301e-05,2.7185971301944458e-05,fast,fast,0.0002947572643127172,0.0006406527477418322,0.0001764079135746499,1770136391.101451
10,0.999444842338562,0.9984514558237185,2.2333999999624154e-05,2.6215577041480397e-05,fast,fast,0.00024834662871098256,0.0005774916614376124,0.00017133472805763716,1770136391.102371
11,0.9959529638290405,0.9979517574247829,2.250000000003638e-05,2.5472461633191593e-05,fast,fast,-0.0004996983989355996,0.004069536170959509,0.0018925554273678813,1770136391.103269
12,0.9998582005500793,0.9983330460498423,2.2125000000094985e-05,2.480296930657227e-05,fast,fast,0.0003812886250593728,0.00016392444992074928,0.00015459840429699057,1770136391.104161
13,0.9996638298034668,0.9985992028005672,2.2333000000429593e-05,2.4308975445343736e-05,fast,fast,0.00026615675072494405,0.0003585031965336327,0.0002031037712093564,1770136391.10866
14,0.999281108379364,0.9987355839163267,2.2082999999284425e-05,2.3863780356131878e-05,fast,fast,0.0001363811157594208,0.0007409746206352708,0.0028808059959413157,1770136391.1095521
15,0.9955880641937256,0.9981060799718064,2.2666999999643167e-05,2.3624424284834137e-05,fast,fast,-0.0006295039445202155,0.004434602806274057,0.009219540386383507,1770136391.1104481
16,0.9859110116958618,0.9956670663166176,2.5999999999193335e-05,2.409953942770598e-05,fast,fast,-0.0024390136551888375,0.014114988304137377,0.006189320315948876,1770136391.1114519
17,0.9982819557189941,0.996190044197093,2.3999999999801958e-05,2.4079631542125176e-05,fast,fast,0.0005229778804753948,0.0017420442810056613,0.0019321285017097622,1770136391.112523
18,0.9936515688896179,0.995682349135598,2.4290999999898588e-05,2.412190523367986e-05,fast,fast,-0.0005076950614949505,0.006372722110381979,0.003397036033629952,1770136391.113564
19,0.982917070388794,0.9931292933862373,2.2625000000608964e-05,2.3822524187065685e-05,fast,fast,-0.002553055749360711,0.017105554611206664,0.022354877769470427,1770136391.114486
20,0.997674286365509,0.9940382919820917,2.3000000000550358e-05,2.365801934976262e-05,fast,fast,0.00090899859585436,0.002348713634491517,0.00413012058294715,1770136391.1154401
21,0.999768853187561,0.9951844042231855,2.275000000029337e-05,2.347641547986877e-05,fast,fast,0.001146112241093844,0.0002538968124392582,0.00012068212890703478,1770136391.11636
22,0.9921740889549255,0.9945823411695336,2.3375000000491752e-05,2.345613238399337e-05,fast,fast,-0.0006020630536519578,0.007849286045074955,0.005451559883300483,1770136391.121173
23,0.9932780861854553,0.994321490172718,2.3207999999996787e-05,2.3406505907194052e-05,fast,fast,-0.0002608509968156092,0.0067451218145446745,0.005109053222289717,1770136391.1261399
24,0.9955574870109558,0.9945686895403656,2.2916999999900156e-05,2.3308604725735275e-05,fast,fast,0.0002471993676476103,0.00446542998904409,0.008073276206970625,1770136391.127077
25,0.9844686388969421,0.9925486794116809,2.6082999999843537e-05,2.3863483780556927e-05,fast,fast,-0.0020200101286846905,0.015557444103057705,0.017285212429412944,1770136391.128148
26,0.9890455007553101,0.9918480436804068,2.3708999999705327e-05,2.3832587024386608e-05,fast,fast,-0.0007006357312741018,0.010978208244689647,0.022813754859924096,1770136391.129169
27,0.9607700109481812,0.9856324371339618,2.3207999999996787e-05,2.3707669619508648e-05,fast,fast,-0.0062156065464450405,0.039253197051818844,0.10755235545349073,1770136391.130118
28,0.9578301310539246,0.9800719759179544,2.2916999999900156e-05,2.354953569558695e-05,fast,fast,-0.005560461216007395,0.04219278594607534,0.012671976760681325,1770136391.1310499
29,0.979215145111084,0.9799006097565803,2.3666999999782945e-05,2.357302855642615e-05,fast,fast,-0.00017136616137403138,0.0208085218889158,0.08135613870257608,1770136391.131982
30,0.9167442321777344,0.9672693342408112,2.2874999999977774e-05,2.3433422845136476e-05,fast,fast,-0.012631275515769147,0.0832786428222656,0.026996231620971756,1770136391.1329112
31,0.9687513709068298,0.9675657415740149,2.3207999999996787e-05,2.338833827610854e-05,fast,fast,0.0002964073332036854,0.03127183709317016,0.04094031524295083,1770136391.133846
32,0.909382164478302,0.9559290261548723,2.2958999999822538e-05,2.3302470620851342e-05,fast,fast,-0.011636715419142574,0.09064079452169782,0.04614359149932934,1770136391.1347892
33,0.9225758910179138,0.9492583991274807,2.329199999984155e-05,2.3300376496649385e-05,fast,fast,-0.006670627027391629,0.07744740098208602,0.062006973869140225,1770136391.1357708
34,0.8794723749160767,0.9353011942851999,2.3166999999268967e-05,2.3273701197173305e-05,fast,fast,-0.013957204842280801,0.12055079208392261,0.053153443771362774,1770136391.1367
35,0.9090684652328491,0.9300546484747297,2.2834000000138133e-05,2.318576095776627e-05,fast,fast,-0.005246545810470127,0.09095436876715102,0.08398764756011978,1770136391.137624
36,0.9099928736686707,0.926042293513518,2.333400000065211e-05,2.321540876634344e-05,fast,fast,-0.004012354961211773,0.09003046033133,0.05918655449694832,1770136391.13855
37,0.9969173669815063,0.9402173082071157,2.2915999999817416e-05,2.3155527013038235e-05,fast,fast,0.01417501469359772,0.0031055490184934698,0.002126997634888106,1770136391.139479
38,0.9990384578704834,0.9519815381397894,2.3125000000234763e-05,2.3149421610477543e-05,fast,fast,0.011764229932673675,0.0009846671295168363,0.00031313248043751685,1770136391.140403
39,0.9848810434341431,0.9585614391986602,2.3374999999603574e-05,2.3194537288302752e-05,fast,fast,0.006579901058870852,0.015142331565856537,0.006010561660583669,1770136391.1413288
40,0.9995856285095215,0.9667662770608325,2.324999999991917e-05,2.3205629830626037e-05,fast,fast,0.008204837862172298,0.0004376214904784348,0.00016137326413012687,1770136391.142257
41,0.9997037649154663,0.9733537746317593,2.3124999999346585e-05,2.3189503864370147e-05,fast,fast,0.0065874975709268035,0.000319360084533038,0.00014578147506671968,1770136391.143189
42,0.9994677901268005,0.9785765777307677,2.2916999999900156e-05,2.313500309147615e-05,fast,fast,0.005222803099008355,0.000555126873199363,9.529441088851343e-05,1770136391.144154
43,0.9996970891952515,0.9828006800236645,2.3958000000767754e-05,2.329960247333447e-05,fast,fast,0.004224102292896825,0.0003268688047493029,0.00011030875814821428,1770136391.14512
44,0.9984947443008423,0.9859394928791001,2.795799999955051e-05,2.423128197857768e-05,fast,fast,0.003138812855435602,0.0015332136991572654,0.0013356486965330205,1770136391.1509519
45,0.995141327381134,0.9877798597795069,2.4041000000529777e-05,2.41932255829681e-05,fast,fast,0.0018403669004067869,0.004882713618866497,0.005434382396697579,1770136391.1566021
