step,reliability,smoothed_reliability,latency,smoothed_latency,active_model,controller_state,deriv,fast_J,robust_J,timestamp
0,0.99027019739151,0.99027019739151,5.566699999981495e-05,5.566699999981495e-05,fast,fast,0.0,0.009785469608489805,0.005035244602385802,1770136390.388048
1,0.9995522499084473,0.9921266078948976,2.3167000000157145e-05,4.916699999988339e-05,fast,fast,0.0018564105033875844,0.0004709170915528915,0.0011441648332519705,1770136390.3889751
2,0.9998089671134949,0.993663079738617,2.329199999984155e-05,4.399199999987503e-05,fast,fast,0.0015364718437194114,0.0002143248865049685,0.0002997576446537309,1770136390.389932
3,0.994436502456665,0.9938177642822266,2.3167000000157145e-05,3.9826999999931455e-05,fast,fast,0.0001546845436095623,0.005586664543335118,0.0020554182472229954,1770136390.390896
4,0.9992312788963318,0.9949004672050477,2.329099999975881e-05,3.651979999989693e-05,fast,fast,0.0010827029228210883,0.0007920121036679717,0.0004649105339051829,1770136390.391874
5,0.9943631887435913,0.9947930115127563,2.3500000000176158e-05,3.391583999995278e-05,fast,fast,-0.00010745569229131391,0.0056603112564088676,0.005684089416504001,1770136390.392811
6,0.9103424549102783,0.9779029001922608,2.7875000000676664e-05,3.270767200009756e-05,fast,fast,-0.01689011132049556,0.08968542008972236,0.022709442173370675,1770136390.396713
7,0.992318332195282,0.9807859865928651,2.3417000000414134e-05,3.0849537600160876e-05,fast,fast,0.0028830864006043067,0.007705084804718432,0.011701691585540352,1770136390.397721
8,0.9980568885803223,0.9842401669903567,2.308300000031238e-05,2.929623008019118e-05,fast,fast,0.0034541803974915686,0.0019661944196780468,0.0018439832000733958,1770136390.398654
9,0.9844562411308289,0.9842833818184511,2.2959000000710716e-05,2.8028784064295087e-05,fast,fast,4.3214828094439994e-05,0.015566717869171853,0.004202706226349662,1770136390.399615
10,0.9771485924720764,0.9828564239491762,2.358299999993818e-05,2.7139627251423706e-05,fast,fast,-0.0014269578692749363,0.022874990527923522,0.006412725780304385,1770136390.400554
11,0.953051745891571,0.9768954883376552,2.324999999991917e-05,2.63617018011228e-05,fast,fast,-0.005960935611521001,0.046971504108428874,0.018437236026580983,1770136390.401531
12,0.9943899512290955,0.9803943809159432,2.374999999954497e-05,2.5839361440807237e-05,fast,fast,0.0034988925782880598,0.005633798770904086,0.005688482555572527,1770136390.402482
13,0.9666884541511536,0.9776531955629852,2.3458000000253776e-05,2.5363089152696545e-05,fast,fast,-0.0027411853529579755,0.03333500384884669,0.014456480220611745,1770136390.406423
14,0.9944842457771301,0.9810194056058142,2.3415999999443216e-05,2.497367132204588e-05,fast,fast,0.0033662100428289987,0.005539170222869316,0.02407691988735916,1770136390.4073632
15,0.9785347580909729,0.980522476102846,2.3415999999443216e-05,2.4662137057525345e-05,fast,fast,-0.0004969295029682019,0.021488657909026543,0.04288631084841921,1770136390.408298
16,0.9376732110977173,0.9719526231018203,2.329099999975881e-05,2.438790964597204e-05,fast,fast,-0.008569853001025751,0.062350079902282474,0.029020059311096524,1770136390.4092329
17,0.9882305860519409,0.9752082156918445,2.3417000000414134e-05,2.419372771686046e-05,fast,fast,0.00325559259002417,0.011792830948059496,0.012988358215149098,1770136390.410196
18,0.9741010665893555,0.9749867858713468,2.6499999999707313e-05,2.465498217342983e-05,fast,fast,-0.00022142982049766502,0.02592543341064424,0.013722529625121993,1770136390.4112341
19,0.9719442129135132,0.97437827127978,2.8125000000045475e-05,2.534898573875296e-05,fast,fast,-0.0006085145915667445,0.028083912086486862,0.03779340595263658,1770136390.4124138
20,0.9982010722160339,0.9791428314670308,2.8165999999885116e-05,2.5912388590979393e-05,fast,fast,0.004764560187250799,0.0018270937839659496,0.003185272079651469,1770136390.413614
21,0.9928863048553467,0.981891526144694,2.383400000027791e-05,2.5496710872839097e-05,fast,fast,0.002748694677663144,0.007137529144653598,0.0029741770557247804,1770136390.414603
22,0.9918515682220459,0.9838835345601644,2.3665999999700205e-05,2.513056869821132e-05,fast,fast,0.0019920084154704254,0.008172097777953802,0.00568210485858156,1770136390.416117
23,0.9938815236091614,0.9858831323699638,2.3374999999603574e-05,2.4779454958489774e-05,fast,fast,0.001999597809799414,0.006141851390838227,0.004619962135132383,1770136390.41765
24,0.9862663149833679,0.9859597688926447,2.2791999999327572e-05,2.4381963966657337e-05,fast,fast,7.663652268086185e-05,0.013756477016631408,0.02900875928897051,1770136390.418578
25,0.9710314869880676,0.9829741125117293,2.250000000003638e-05,2.4005571173333146e-05,fast,fast,-0.0029856563809154135,0.02899101301193241,0.031213541122436794,1770136390.419489
26,0.9862474799156189,0.9836287859925072,2.275000000029337e-05,2.3754456938725193e-05,fast,fast,0.0006546734807779675,0.013775270084381397,0.028422320770446596,1770136390.4204118
27,0.9896896481513977,0.9848409584242854,2.279200000021575e-05,2.3561965551023308e-05,fast,fast,0.0012121724317781801,0.01033314384860251,0.028509486156463204,1770136390.421352
28,0.9906322956085205,0.9859992258611325,2.2874999999977774e-05,2.34245724408142e-05,fast,fast,0.0011582674368471046,0.00939057939147947,0.003021019748321585,1770136390.4223151
29,0.9928900003433228,0.9873773807575706,2.2667000000531345e-05,2.327305795275763e-05,fast,fast,0.0013781548964381107,0.0071326666566777774,0.02969070205307034,1770136390.423237
30,0.9954291582107544,0.9889877362482075,2.2459000000196738e-05,2.311024636224545e-05,fast,fast,0.0016103554906368167,0.004593300789245802,0.0014947364234929594,1770136390.424143
31,0.9971159100532532,0.9906133710092166,2.225000000066757e-05,2.2938197089929876e-05,fast,fast,0.001625634761009187,0.0029063399467474937,0.004401708763122514,1770136390.4251049
32,0.9614349603652954,0.9847776888804325,2.645799999978493e-05,2.3642157671900887e-05,fast,fast,-0.005835682128784159,0.038591497634704375,0.019307125282105098,1770136390.426053
33,0.9886207580566406,0.9855463027156742,2.274999999940519e-05,2.346372613740175e-05,fast,fast,0.0007686138352417382,0.01140199194335878,0.00974726130657988,1770136390.426997
34,0.9777042865753174,0.983977899487603,2.4250000000058947e-05,2.3620980909933192e-05,fast,fast,-0.00156840322807128,0.022319963424682676,0.009663199222748275,1770136390.427955
35,0.9997028708457947,0.9871228937592413,2.6125000000654097e-05,2.4121784728077374e-05,fast,fast,0.0031449942716383905,0.00032325415420597636,0.0003587951965329239,1770136390.4290812
36,0.9932969212532043,0.988357699258034,2.3375000000491752e-05,2.397242778256025e-05,fast,fast,0.0012348054987926238,0.006726453746796146,0.004493523078918038,1770136390.43003
37,0.9847604632377625,0.9876382520539797,2.2666000000448605e-05,2.371114222613792e-05,fast,fast,-0.0007194472040542577,0.015262202762237997,0.010583413868133995,1770136390.430944
38,0.9758705496788025,0.9852847115789443,2.270799999948281e-05,2.35105137808069e-05,fast,fast,-0.0023535404750354427,0.024152158321196993,0.007036626666839574,1770136390.431854
39,0.966487467288971,0.9815252627209496,2.2874999999977774e-05,2.3383411024641077e-05,fast,fast,-0.0037594488579946184,0.03353540771102903,0.014012861686707012,1770136390.432759
40,0.8892409205436707,0.963068394285494,2.2625000000608964e-05,2.3231728819834658e-05,fast,fast,-0.018456868435455687,0.11078170445632995,0.03682338166082744,1770136390.433693
41,0.9087503552436829,0.9522047864771317,2.2624999999720785e-05,2.3110383055811887e-05,fast,fast,-0.010863607808362263,0.09127226975631686,0.03648642934817481,1770136390.434598
42,0.872163712978363,0.936196571777378,2.2667000000531345e-05,2.302170644475578e-05,fast,fast,-0.016008214699753665,0.1278589540216375,0.02316624661273181,1770136390.4355268
43,0.9145132303237915,0.9318599034866608,2.254199999995876e-05,2.2925765155796377e-05,fast,fast,-0.004336668290717216,0.08550931167620845,0.025436270904357627,1770136390.436426
44,0.9431071281433105,0.9341093484179909,2.2458000000113998e-05,2.28322121246599e-05,fast,fast,0.002249444931330058,0.05691532985668957,0.05727261460894795,1770136390.439323
45,0.9696690440177917,0.9412212875379511,2.254199999995876e-05,2.2774169699719672e-05,fast,fast,0.00711193911996022,0.03035349798220821,0.03398650917416379,1770136390.442285
46,0.8227006196975708,0.917517153969875,2.279200000021575e-05,2.277773575981889e-05,fast,fast,-0.023704133568076102,0.17732217230242941,0.03801892460250844,1770136390.443205
47,0.9436901211738586,0.9227517474106718,2.6584000000440255e-05,2.3538988607943163e-05,fast,fast,0.0052345934407967976,0.0563364628261418,0.04030829677581771,1770136390.446538
48,0.8714608550071716,0.9124935689299718,2.304200000047274e-05,2.3439590886449078e-05,fast,fast,-0.010258178480699987,0.12856218699282884,0.223326755790894,1770136390.4475079
49,0.980782687664032,0.9261513926767838,2.2624999999720785e-05,2.327667270910342e-05,fast,fast,0.013657823746812014,0.01923993733596774,0.029314900558471635,1770136390.44841
50,0.938859760761261,0.9286930662936793,2.2417000000274356e-05,2.310473816733761e-05,fast,fast,0.002541673616895501,0.06116265623873929,0.053459043040862575,1770136390.451715
51,0.9324524998664856,0.9294449530082406,2.225000000066757e-05,2.29337905340036e-05,fast,fast,0.0007518867145612784,0.06756975013351507,0.027649987411315635,1770136390.4526122
52,0.820345938205719,0.9076251500477364,2.2417000000274356e-05,2.2830432427257755e-05,fast,fast,-0.02181980296050423,0.17967647879428128,0.07268955818939205,1770136390.4535081
53,0.9714439511299133,0.9203889102641718,2.220799999985701e-05,2.2705945941777606e-05,fast,fast,0.012763760216435438,0.028578256870086527,0.030073766826629544,1770136390.456754
54,0.8129990100860596,0.8989109302285494,2.2833000000055392e-05,2.2731356753433167e-05,fast,fast,-0.0214779800356224,0.18702382291394049,0.03576234077453666,1770136390.4576719
55,0.8535837531089783,0.8898454948046353,2.2583999999881144e-05,2.2701885402722763e-05,fast,fast,-0.009065435423914137,0.1464388308910216,0.07935708917254658,1770136390.4585721
56,0.8351016044616699,0.8788967167360422,2.2582999999798403e-05,2.2678108322137893e-05,fast,fast,-0.010948778068593068,0.16492097853832988,0.11437372069912755,1770136390.459463
57,0.9482012987136841,0.8927576331315706,2.279200000021575e-05,2.2700886657753467e-05,fast,fast,0.013860916395528444,0.051821493286316134,0.047344828765869096,1770136390.4603589
58,0.9997038841247559,0.9141468833302077,2.6000000000081513e-05,2.336070932621908e-05,fast,fast,0.021389250198637022,0.00032211587524422214,0.00014418203353905312,1770136390.4614139
59,0.9931024312973022,0.9299379929236267,2.408300000045216e-05,2.3505167461065698e-05,fast,fast,0.015791109593419006,0.006921651702698206,0.00311341250592001,1770136390.462406
60,0.982489824295044,0.9404483591979103,2.3624999999860563e-05,2.3529133968824672e-05,fast,fast,0.010510366274283589,0.017533800704955915,0.01097450889605689,1770136390.463348
61,0.9378523826599121,0.9399291638903107,2.3166000000074405e-05,2.3456507175074623e-05,fast,fast,-0.0005191953075995848,0.062170783340087965,0.019506210586365036,1770136390.4642801
62,0.9792171716690063,0.9477867654460498,2.408299999956398e-05,2.3581805739972498e-05,fast,fast,0.007857601555739113,0.020806911330993216,0.01600067512493908,1770136390.469833
63,0.9869858622550964,0.9556265848078591,2.35410000000158e-05,2.357364459198116e-05,fast,fast,0.00783981936180933,0.01303767874490358,0.017434721878235138,1770136390.4752588
64,0.9975197911262512,0.9640052260715376,2.3417000000414134e-05,2.3542315673667757e-05,fast,fast,0.008378641263678488,0.0025036258737491934,0.001566297973999653,1770136390.476202
65,0.9977114200592041,0.9707464648690709,2.3707999999622587e-05,2.3575452538858726e-05,fast,fast,0.0067412387975333,0.002312287940795521,0.0005035097158501145,1770136390.477186
66,0.9933322072029114,0.9752636133358391,2.379200000035553e-05,2.3618762031158088e-05,fast,fast,0.004517148466768206,0.006691584797088979,0.004653376712981938,1770136390.478173
67,0.9677568078041077,0.9737622522294929,2.2665999999560427e-05,2.3428209624838558e-05,fast,fast,-0.001501361106346244,0.032265858195891894,0.0303316179844062,1770136390.4837801
68,0.9315335750579834,0.965316516795191,2.2458000000113998e-05,2.3234167699893646e-05,fast,fast,-0.008445735434301826,0.06848888294201672,0.020252163948242696,1770136390.4893582
69,0.9350185394287109,0.959256921321895,2.3458999999448338e-05,2.3279134159804585e-05,fast,fast,-0.006059595473296042,0.06500491957128851,0.012009046111877808,1770136390.4903328
70,0.9919321537017822,0.9657919677978725,2.4208000000136565e-05,2.3464907327870982e-05,fast,fast,0.0065350464759774685,0.00809205429821791,0.015956770897094685,1770136390.491327
71,0.9942766427993774,0.9714889027981736,2.3667000000671123e-05,2.3505325862431012e-05,fast,fast,0.0056969350003011066,0.00574702420062323,0.0027229014779965866,1770136390.492279
72,0.999558687210083,0.9771028596805555,2.3209000000079527e-05,2.344606068996072e-05,fast,fast,0.005613956882381976,0.0004645217899170717,0.00018290814553800772,1770136390.493214
73,0.9996629357337952,0.9816148748912035,2.3000000000550358e-05,2.335684855207865e-05,fast,fast,0.004512015210647924,0.00036006426620538434,0.0001225226177057337,1770136390.494221
74,0.9947220683097839,0.9842363135749196,2.279200000021575e-05,2.3243878841706075e-05,fast,fast,0.002621438683716115,0.00530072369021628,0.0026619505542599953,1770136390.4951549
75,0.9926896691322327,0.9859269846863823,2.3416999999525956e-05,2.327850307327005e-05,fast,fast,0.0016906711114627049,0.00733374786776686,0.0019055241470331552,1770136390.49612
76,0.9959684014320374,0.9879352680355133,2.308300000031238e-05,2.3239402458678517e-05,fast,fast,0.002008283349131057,0.004054681567962959,0.0026301870693048457,1770136390.497081
77,0.9972296357154846,0.9897941415715077,2.349999999928798e-05,2.329152196680041e-05,fast,fast,0.0018588735359943431,0.002793864284514669,0.0019416515849917104,1770136390.502767
78,0.9998440146446228,0.9918041161861308,2.3166000000074405e-05,2.326641757345521e-05,fast,fast,0.0020099746146231556,0.00017915135537727167,0.00021143514251686923,1770136390.503705
79,0.9991778135299683,0.9932788556548984,2.3500000000176158e-05,2.3313134058799403e-05,fast,fast,0.0014747394687675275,0.0008456864700319144,0.0005548582685541703,1770136390.504686
80,0.9998835325241089,0.9945997910287405,2.383300000019517e-05,2.3417107247078558e-05,fast,fast,0.001320935373842147,0.00014030047589130845,0.00014496438217204144,1770136390.5103319
81,0.9998303651809692,0.9956459058591863,2.2082999999284425e-05,2.3150285797519734e-05,fast,fast,0.00104611483044581,0.00019171781903004614,0.00021827376956196076,1770136390.511308
82,0.9998735189437866,0.9964914284761065,2.2958000000627976e-05,2.3111828638141386e-05,fast,fast,0.0008455226169201691,0.00014943905621400688,0.00022343351327513972,1770136390.512248
83,0.99974125623703,0.9971413940282913,2.250000000003638e-05,2.2989462910520384e-05,fast,fast,0.0006499655521847725,0.0002812437629700071,6.156034451354486e-05,1770136390.5131469
84,0.9508180022239685,0.9878767156674269,2.3624999999860563e-05,2.3116570328388422e-05,fast,fast,-0.00926467836086442,0.049205622776031355,0.0646299875184928,1770136390.514109
85,0.92249596118927,0.9748005647717956,2.3416999999525956e-05,2.317665626261593e-05,fast,fast,-0.0130761508956313,0.0775274558107295,0.020538664406005935,1770136390.515049
86,0.9479970932006836,0.9694398704575732,2.2582999999798403e-05,2.3057925010052424e-05,fast,fast,-0.0053606943142223695,0.052025489799316205,0.010885019161407605,1770136390.515977
87,0.9967081546783447,0.9748935273017275,2.304199999958456e-05,2.3054740007958854e-05,fast,fast,0.005453656844154331,0.003314887321654858,0.005475461578368979,1770136390.5169122
88,0.99905925989151,0.979726673819684,2.3167000000157145e-05,2.3077192006398515e-05,fast,fast,0.004833146517956521,0.0009639071084901474,0.0005917726133422008,1770136390.5223029
89,0.9633062481880188,0.9764425886933511,2.3084000000395122e-05,2.307855360519784e-05,fast,fast,-0.0032840851263329363,0.036716835811981596,0.006781518554688226,1770136390.523241
90,0.9965758919715881,0.9804692493489986,2.2916999999900156e-05,2.3046242884138304e-05,fast,fast,0.004026660655647496,0.0034470250284117654,0.0006814353712165655,1770136390.524199
91,0.9975740313529968,0.9838902057497982,2.324999999991917e-05,2.3086994307294478e-05,fast,fast,0.0034209564007996462,0.002449218647003093,0.0022213459968565274,1770136390.525156
92,0.9965415596961975,0.9864204765390782,2.3166000000074405e-05,2.3102795445850467e-05,fast,fast,0.0025302707892799203,0.0034816063038025646,0.0029452617797849356,1770136390.5261068
93,0.9996445178985596,0.9890652848109746,2.3167000000157145e-05,2.3115636356711806e-05,fast,fast,0.0026448082718963928,0.00037864910144058683,0.00013847449911530418,1770136390.527051
94,0.9998722672462463,0.9912266812980289,2.2874999999977774e-05,2.3067509085365e-05,fast,fast,0.002161396487054379,0.00015060775375363988,0.00019907405072050466,1770136390.528045
95,0.9972971081733704,0.9924407666730973,2.2416000000191616e-05,2.2937207268330328e-05,fast,fast,0.0012140853750683966,0.0027253078266298303,0.0009407112503048154,1770136390.528964
